GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
26005005017,4,26005005017,1895,442,1405,2278,544,1705,2280,521,1730,1667,430,1209,1636,348,1213,1667,448,1165,1849,348,1401,2432,2330,56,37,1,2,0,11,0,0,0,0,3406,3204,133,51,10,3,0,0,0,2666,2551,55,45,0,18,0,15,0,0,0,0,0,3690,3488,131,55,0,17,0,14,0,0,0,0,56,3317,3177,91,14,29,12,0,0,0,2370,2297,44,7,17,9,0,0,0,2872,2650,101,7,26,8,0,8,72,3937,3572,169,40,45,85,3,2872,2650,101,16,29,57,2
26047047022,1,26047047022,405,161,235,444,187,247,440,174,259,379,154,222,369,133,220,384,164,212,416,151,242,456,398,5,6,8,34,2,5,5,28,0,0,607,505,10,36,17,47,0,0,0,367,327,7,7,0,20,0,7,0,17,0,0,0,455,388,9,25,0,36,0,24,0,20,0,2,8,661,607,15,5,0,43,0,0,0,535,499,7,2,0,29,0,0,0,614,543,6,9,4,25,1,5,21,711,607,12,21,7,61,1,614,543,6,11,5,43,1
26047047004,1,26047047004,359,151,197,407,167,230,403,166,228,334,158,173,330,136,180,336,152,172,339,123,196,439,398,3,6,8,30,3,3,3,23,0,0,571,483,9,30,13,42,1,0,0,465,399,5,4,11,50,4,4,3,31,4,0,0,554,455,3,7,14,67,2,7,3,43,2,0,46,620,539,7,9,0,68,0,0,0,476,430,5,2,0,40,0,0,0,472,415,2,0,1,32,0,1,21,568,489,4,5,1,71,0,472,415,2,3,1,52,0
26047047008,1,26047047008,544,216,309,635,260,360,628,250,365,507,211,285,494,187,285,508,213,279,526,184,302,735,677,13,6,7,36,4,2,7,28,4,0,871,783,15,3,16,56,5,0,0,707,655,7,6,10,37,0,0,10,20,0,4,0,854,754,14,3,17,54,0,0,11,28,0,3,47,892,835,6,10,2,45,0,0,0,688,650,2,3,2,31,0,0,0,771,707,6,0,3,21,0,0,34,954,867,10,11,4,49,1,771,707,6,3,4,42,1
26047047001,1,26047047001,1773,807,912,2012,966,1018,1998,918,1052,1651,766,839,1611,676,855,1646,768,828,1756,727,900,2287,2143,34,23,0,76,3,22,0,61,5,0,2851,2605,48,38,43,100,12,0,0,2279,2107,31,27,1,99,3,26,1,68,3,9,0,2870,2581,42,55,56,131,21,39,19,77,7,13,95,2897,2690,37,37,37,107,4,0,0,2127,1995,17,16,27,72,2,0,0,2386,2173,46,13,10,54,0,7,83,3061,2750,59,34,30,170,3,2386,2173,46,21,19,115,2
26031031003,1,26031031003,1799,642,1112,2091,731,1326,2060,718,1317,1659,645,982,1597,521,986,1654,644,957,1823,597,1132,2734,2541,13,37,22,142,0,33,15,84,1,0,3190,2922,37,38,29,183,0,0,0,2730,2616,14,12,10,92,0,8,3,46,0,0,0,3153,2977,37,14,14,126,0,9,3,50,0,0,81,3206,2953,28,12,20,201,3,0,0,2567,2425,14,2,9,122,3,0,0,2639,2401,11,2,15,71,0,8,131,3133,2812,28,21,20,227,1,2639,2401,11,16,19,173,1
26031031012,1,26031031012,1303,468,799,1503,525,957,1491,534,941,1192,476,699,1156,382,710,1189,457,682,1295,419,813,1690,1509,20,27,3,132,0,25,3,59,0,0,2065,1802,67,43,14,152,0,0,0,1803,1637,24,22,5,107,0,18,5,46,0,0,0,2196,1951,78,37,11,123,0,18,6,46,0,0,92,2261,2094,12,12,14,140,1,0,0,1742,1643,6,2,8,87,1,0,0,1776,1624,7,1,3,57,0,5,79,2160,1958,13,13,12,154,0,1776,1624,7,5,8,120,0
26001001008,1,26001001008,603,176,414,715,199,508,709,213,486,537,158,364,531,157,357,543,179,351,607,160,417,921,905,15,4,4,2,0,4,0,0,0,0,1068,1034,19,10,4,10,0,0,0,906,886,15,9,4,2,0,9,0,0,0,0,0,1022,982,21,13,2,7,0,8,0,0,0,3,17,1105,1077,15,0,0,11,1,0,0,933,913,9,0,0,9,1,0,0,952,918,8,0,1,7,0,0,18,1076,1037,10,4,4,19,1,952,918,8,3,3,17,1
26005005016,4,26005005016,1160,479,636,1371,538,799,1359,521,799,1040,455,557,998,400,526,1043,492,507,1181,445,648,1573,1530,30,0,0,0,0,0,0,0,9,0,2262,2209,45,8,0,8,0,0,0,1774,1720,40,0,0,0,0,0,0,0,0,12,0,2302,2235,56,11,0,12,0,0,0,1,0,0,11,2366,2259,47,31,6,24,0,0,0,1706,1645,24,12,5,19,0,0,0,1836,1685,37,17,10,3,1,4,79,2462,2216,85,58,20,77,1,1836,1685,37,32,13,53,1
26005005007,4,26005005007,750,315,411,927,412,502,919,378,514,660,277,361,637,244,350,656,286,344,756,310,409,1510,1154,312,14,18,14,0,14,11,0,3,0,2225,1465,689,27,23,18,3,0,0,1781,1346,386,23,18,15,0,19,7,0,0,3,0,2586,1729,790,41,23,13,2,17,7,0,0,0,42,2084,1280,718,38,23,38,0,0,0,1533,1048,424,31,13,23,0,0,0,1588,1001,517,15,5,6,0,6,38,2060,1186,761,50,20,69,1,1588,1001,517,27,8,49,0
26005005029,4,26005005029,1638,458,1142,1941,565,1341,1935,519,1392,1467,441,1010,1444,395,1000,1469,451,983,1659,424,1141,2319,2008,263,8,0,30,0,8,0,0,0,0,3416,2771,597,50,0,38,0,0,0,2338,2091,207,4,0,33,0,4,0,0,0,0,0,3310,2800,470,33,0,35,0,4,0,0,0,0,38,3017,2659,295,24,26,22,2,0,0,2121,1928,164,9,13,15,2,0,0,2448,2143,210,3,8,0,0,10,74,3312,2773,339,52,48,51,1,2448,2143,210,16,15,32,1
26005005045,4,26005005045,1787,697,1017,2145,837,1265,2128,790,1288,1544,654,849,1524,585,834,1559,687,815,1854,650,1045,3064,2948,54,17,1,51,0,16,0,0,0,0,4169,3849,129,143,1,50,0,0,0,3126,3082,24,16,0,1,0,16,0,0,0,0,0,4208,3948,106,158,1,17,0,80,1,0,0,0,79,4079,3782,160,51,24,77,3,0,0,2909,2763,77,16,9,45,2,0,0,3256,2930,123,35,22,34,0,5,107,4435,3849,213,113,46,172,6,3256,2930,123,45,31,98,1
26011011015,1,26011011015,833,347,461,946,351,577,933,396,508,769,348,403,746,286,407,770,353,393,879,315,518,1536,1461,24,2,8,47,0,2,4,28,0,0,1823,1732,23,3,13,55,0,0,0,1406,1347,12,6,8,42,0,2,4,33,0,0,0,1778,1703,12,5,5,55,0,4,2,31,0,0,29,1900,1809,40,7,7,43,1,0,0,1475,1414,25,2,4,31,1,0,0,1394,1286,23,2,3,19,1,0,60,1701,1548,30,13,10,95,5,1394,1286,23,6,6,67,4
26039039002,1,26039039002,665,212,429,772,234,531,756,236,509,618,212,385,598,182,375,617,217,367,651,197,427,1148,1104,6,0,17,21,0,0,17,5,0,0,1392,1314,28,2,24,25,0,0,0,992,962,3,0,14,12,0,0,14,0,0,0,0,1157,1116,6,3,16,14,0,0,14,0,0,0,21,1329,1288,14,6,5,19,0,0,0,1051,1021,10,1,4,17,0,0,0,952,886,15,1,3,0,2,1,44,1161,1073,20,9,4,45,2,952,886,15,2,4,36,2
26073073019,2,26073073019,1120,759,319,1139,817,294,1126,782,319,1028,689,321,1011,672,290,1042,719,286,1404,890,415,5959,4998,284,471,118,65,0,398,97,31,10,0,6653,5391,298,539,403,97,5,0,0,6024,5024,294,475,151,75,0,393,123,20,0,0,0,6674,5393,315,600,358,132,0,436,270,22,0,0,238,7820,6761,228,472,306,80,9,0,0,7516,6532,206,448,284,70,5,0,0,5629,4066,278,756,231,32,1,23,242,5959,4288,301,910,330,142,4,5629,4066,278,863,295,112,3
26081081204,2,26081081204,1225,390,797,1479,469,994,1463,462,973,1076,381,671,1051,320,677,1080,388,648,1257,358,825,1960,1872,45,5,2,35,0,5,0,0,0,0,2513,2388,48,28,12,36,0,0,0,1999,1891,54,5,1,47,0,5,0,0,0,0,0,2479,2354,59,11,3,47,0,5,2,0,0,0,55,2415,2284,64,25,18,28,0,0,0,1786,1712,39,10,11,17,0,0,0,1954,1792,59,16,1,4,0,4,78,2488,2230,83,58,20,57,0,1954,1792,59,30,5,45,0
26081081192,3,26081081192,1629,632,949,2011,808,1165,1997,758,1203,1415,579,803,1369,503,808,1415,608,767,1613,538,966,2400,2346,15,12,17,7,0,12,17,0,8,0,3279,3145,33,60,25,37,0,0,0,2422,2348,37,10,17,2,0,10,17,1,0,8,0,3465,3284,64,67,28,39,0,8,25,1,0,5,75,2968,2771,91,52,39,32,1,0,0,2152,2044,52,15,24,23,0,0,0,2367,2196,52,32,22,5,0,3,57,3127,2849,107,67,40,59,0,2367,2196,52,41,31,33,0
26081081052,2,26081081052,1559,581,942,1842,738,1073,1818,686,1116,1414,555,846,1387,482,855,1420,545,840,1495,495,922,1633,1580,28,4,7,7,0,4,3,0,5,0,2359,2224,34,13,28,70,0,0,0,1740,1691,27,7,4,7,0,7,3,0,0,3,0,2413,2315,27,8,23,49,0,8,13,0,0,0,51,2118,2035,33,9,30,9,3,0,0,1479,1441,19,4,12,4,1,0,0,1874,1740,38,4,22,2,1,0,67,2704,2468,78,32,50,52,2,1874,1740,38,13,27,37,2
26081081208,2,26081081208,1289,427,815,1562,513,1026,1539,498,1007,1108,405,676,1077,320,688,1121,409,661,1366,414,863,2203,2126,59,17,0,0,0,17,0,0,0,0,3214,3036,159,16,0,7,0,0,0,2130,1988,57,14,67,0,0,14,0,0,0,0,0,3067,2765,146,16,133,6,0,16,64,0,0,0,72,2744,2528,142,23,32,18,2,0,0,1957,1858,66,4,17,12,1,0,0,2202,1943,170,13,7,5,0,8,56,2946,2532,276,52,19,42,2,2202,1943,170,29,13,32,2
26081081199,3,26081081199,1768,729,989,2075,903,1140,2055,854,1169,1593,685,868,1567,599,892,1595,714,832,1738,620,1020,2430,2336,51,14,32,0,0,14,32,0,0,0,3057,2843,102,34,36,0,0,0,0,2329,2261,9,9,24,23,0,9,24,19,0,0,0,2997,2830,26,32,32,32,0,10,32,20,0,44,34,3176,2993,62,68,45,36,1,0,0,2396,2289,36,24,30,23,1,0,0,2538,2295,84,26,37,5,0,11,80,3158,2793,123,84,59,67,3,2538,2295,84,40,44,44,3
