GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
45079000452,6,45079000452,1300,1260,31,1393,1339,41,1395,1369,25,1113,1069,19,1101,1080,21,1445,1394,29,1414,1326,77,2095,138,18,1935,0,6,0,1931,0,6,0,0,3244,155,193,2773,121,5,0,0,0,2551,153,19,2367,0,2,0,2363,0,2,0,4,0,3760,176,215,3226,145,8,0,3217,143,2,0,0,6,3360,112,39,3197,15,39,3,0,0,2467,96,25,2335,11,23,3,0,0,2262,83,80,2033,8,1,0,7,50,2980,97,138,2731,13,35,0,2262,83,80,2086,9,24,0
45079000440,2,45079000440,877,584,272,1000,712,276,1004,721,270,729,495,211,736,536,198,925,545,323,915,522,371,1401,650,90,645,20,0,0,555,20,0,0,0,2124,654,222,1152,95,0,0,0,0,1754,944,97,708,5,0,0,708,5,0,0,0,0,2094,1011,179,870,58,0,0,844,58,0,0,0,0,1871,919,64,833,44,19,2,0,0,1518,810,39,624,35,14,2,0,0,1536,703,82,672,7,4,1,9,58,1865,783,112,920,30,42,5,1536,703,82,719,21,27,2
45079000492,2,45079000492,1036,542,471,1144,625,495,1144,634,488,866,483,366,866,514,352,1107,545,514,1083,446,610,1663,878,0,754,31,0,0,754,31,0,0,0,1944,1044,0,854,46,0,0,0,0,1389,648,0,723,19,0,0,723,19,0,0,0,0,1711,778,0,821,111,0,0,821,111,0,0,0,0,2034,1465,43,451,69,18,1,0,0,1379,1000,26,306,45,12,1,0,0,1502,983,41,421,29,0,1,7,20,1883,1177,61,582,39,26,1,1502,983,41,434,30,16,1
45079000109,6,45079000109,525,497,21,509,485,20,511,490,18,439,412,16,431,415,15,646,610,20,624,564,50,1274,295,37,931,5,12,0,919,4,0,0,0,1502,308,44,1147,14,11,0,0,0,1160,340,27,777,6,8,0,769,4,0,0,0,0,1315,350,34,924,24,13,0,897,15,0,0,0,18,2185,98,29,2061,8,18,2,0,0,1711,86,26,1602,6,12,1,0,0,1233,119,34,1019,11,5,0,6,39,1379,148,38,1169,24,22,5,1233,119,34,1059,21,18,4
45079000449,6,45079000449,1612,1154,430,2176,1669,481,2180,1695,462,1278,923,328,1275,958,317,1406,905,438,1367,784,543,2606,1214,43,1301,55,0,0,1244,55,0,0,0,3461,1506,121,1778,77,0,0,0,0,3595,1264,118,2208,0,0,0,2127,0,0,0,0,0,4527,1424,309,2674,36,0,0,2580,36,0,0,97,82,1995,874,109,968,53,12,1,0,0,1497,686,67,705,40,7,1,0,0,3200,962,165,1840,77,12,5,12,127,4335,1214,247,2776,144,91,16,3200,962,165,1966,105,70,9
45079000408,2,45079000408,1788,1041,715,2281,1460,792,2278,1490,773,1497,874,577,1495,933,561,1609,805,731,1578,678,859,2310,1029,65,1171,29,11,0,1138,29,11,0,0,3083,1240,130,1653,52,11,0,0,0,2683,1425,93,1068,98,9,0,1067,98,9,0,0,0,3633,1675,234,1767,154,12,0,1563,96,8,0,1,58,2034,1534,55,426,13,11,2,0,0,1502,1141,37,309,8,9,1,0,0,2876,1291,119,1334,57,4,1,12,58,3818,1547,184,1972,100,41,6,2876,1291,119,1387,65,31,3
45079000501,2,45079000501,1735,342,1358,2204,455,1709,2210,470,1704,1396,269,1106,1402,334,1065,1618,300,1252,1585,238,1313,2430,1954,67,388,0,0,0,358,0,0,17,0,3394,2713,108,528,43,10,19,0,0,2162,1918,72,164,1,0,0,164,1,0,0,0,0,2852,2510,108,208,28,0,0,201,28,0,0,0,8,2407,2240,39,97,19,15,0,0,0,1843,1723,24,71,14,12,0,0,0,2677,2358,70,91,42,4,1,12,99,3572,3071,126,166,96,104,7,2677,2358,70,113,55,69,3
45079000400,2,45079000400,1072,605,442,1225,743,449,1227,750,468,946,531,394,948,582,366,1048,582,391,1025,454,554,1781,1410,0,260,75,0,0,235,75,0,37,0,2320,1673,0,456,191,0,59,0,0,1423,1145,0,200,53,0,0,175,50,0,0,17,0,1828,1365,0,349,114,0,17,296,91,0,0,0,76,2142,1264,66,720,95,21,3,0,0,1640,1044,41,479,67,13,3,0,0,1725,1016,67,521,69,4,5,4,39,2200,1222,107,742,100,38,6,1725,1016,67,539,76,23,5
45079000513,6,45079000513,964,843,104,975,848,107,978,872,99,743,651,75,739,660,79,1193,1037,113,1162,983,162,2985,750,165,2030,10,0,0,1985,0,0,25,0,3666,871,264,2460,205,75,6,0,0,2885,885,125,1765,95,0,0,1705,95,0,0,15,0,3425,994,160,2081,287,55,5,1946,134,0,0,17,174,3174,631,109,2394,52,30,3,0,0,2520,594,83,1812,42,19,1,0,0,2611,544,109,1789,59,6,0,19,85,3325,584,129,2526,87,60,8,2611,544,109,1880,70,48,1
45071000007,3,45071000007,357,308,44,385,331,49,386,339,45,265,220,36,263,225,38,434,374,45,415,364,44,745,59,20,664,0,0,0,664,0,0,0,0,1164,69,22,1075,0,0,0,0,0,425,57,0,370,0,0,0,370,0,0,0,0,0,839,57,140,642,0,0,0,642,0,0,0,0,0,1266,177,117,978,5,9,4,0,0,875,145,85,644,4,8,3,0,0,884,111,88,658,1,0,0,0,26,1297,134,153,996,5,27,2,884,111,88,678,2,22,0
