GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0900101-149,4,0900101-149,2698,1799,842,3352,2293,1024,2465,1585,840,2437,1719,686,2452,1706,731,2478,1617,779,2996,1877,988,4208,2788,603,465,321,32,0,465,309,32,0,0,6814,3438,1645,960,876,33,0,0,0,4170,2593,610,588,294,64,0,555,287,64,0,25,0,6838,3268,1918,1021,664,145,0,889,600,65,0,0,100,6760,4344,1180,672,586,40,10,0,0,5345,3581,856,485,436,30,10,0,0,5589,3156,1319,553,393,3,0,33,132,6970,3672,1826,882,556,83,6,5589,3156,1319,649,411,73,5,6978,3676,1826,882,556,83,6
0901313-021,2,0901313-021,3454,2104,1221,4322,2720,1513,3028,1629,1190,2995,1932,1006,2971,1709,1210,3718,2512,1059,3702,2114,1344,7985,5852,1061,805,246,18,0,745,238,4,0,0,10586,7279,1639,1416,475,23,0,0,0,8117,5979,978,844,261,79,0,737,206,4,0,0,0,10645,7267,1490,1678,401,75,0,1037,343,2,0,0,507,9694,7429,884,985,426,126,11,0,0,7732,6301,515,580,317,82,8,0,0,8624,5837,1038,801,531,10,3,42,362,10665,6665,1633,1564,755,239,28,8624,5837,1038,1026,598,166,17,10720,6700,1640,1572,755,239,28
0901313-022,2,0901313-022,3739,2098,1527,4459,2721,1662,3412,1619,1532,3371,2024,1312,3343,1688,1612,3926,2506,1330,3957,2063,1664,6674,5329,614,478,220,8,0,476,206,8,3,0,8290,6098,923,718,617,11,3,0,0,6621,5276,570,481,282,10,0,406,263,4,0,0,0,8346,6209,900,709,596,11,0,496,566,6,0,0,168,8366,6687,569,696,430,77,12,0,0,6673,5584,339,415,319,51,11,0,0,6752,5133,610,411,399,1,3,5,190,8218,5934,892,818,564,158,8,6752,5133,610,528,446,109,6,8242,5952,894,820,565,158,8
0901313-004,2,0901313-004,3315,1634,1553,3909,2034,1764,3159,1332,1565,3109,1626,1419,3068,1391,1632,3336,1940,1288,3394,1527,1618,5107,4799,178,63,35,20,0,48,35,0,0,0,6327,5893,244,141,74,24,0,0,0,5071,4845,163,18,40,20,0,18,40,0,0,0,0,6203,5680,200,122,250,17,0,45,250,0,0,0,26,6650,6200,207,117,85,66,4,0,0,5148,4860,133,67,56,50,2,0,0,5144,4667,155,36,83,1,0,29,173,6323,5632,260,104,139,106,1,5144,4667,155,64,105,85,1,6335,5644,260,104,139,106,1
0901313-017,2,0901313-017,3108,1565,1438,3602,1984,1543,2832,1189,1439,2816,1490,1288,2797,1251,1507,3311,1908,1323,3347,1599,1513,4265,4015,56,28,131,8,0,19,131,0,31,0,5668,5060,67,165,434,27,0,0,0,4209,3951,47,28,95,8,0,22,95,0,0,78,0,5811,4998,330,190,347,75,0,23,278,0,0,0,180,6117,5699,136,92,170,15,4,0,0,4456,4202,79,58,104,13,4,0,0,4498,3934,167,65,176,4,0,22,130,5853,5011,268,163,294,80,4,4498,3934,167,93,201,69,0,5858,5016,268,163,294,80,4
0900101-008,4,0900101-008,2006,1716,271,2565,2071,483,1688,1434,238,1639,1451,181,1580,1363,209,2180,1932,213,2399,2036,320,5406,1035,2302,1942,99,15,0,1932,99,0,11,0,8762,1286,4372,3095,251,62,0,0,0,5410,894,2403,1995,114,10,0,1881,114,0,0,9,0,8778,1112,4270,3378,295,47,0,2920,288,0,0,43,142,8156,1732,2964,3394,285,112,17,0,0,6306,1574,2189,2432,222,80,11,0,0,6294,1027,2532,2260,291,7,2,35,140,7971,1130,3309,3434,403,134,12,6294,1027,2532,2594,317,95,11,8040,1135,3332,3469,404,134,12
0900101-045,5,0900101-045,1435,963,446,2302,1465,816,641,399,225,625,437,182,602,393,203,2405,1794,559,2088,1308,701,4401,2848,787,347,371,45,0,321,371,15,4,0,7845,3522,2911,624,466,117,27,0,0,4397,2647,1013,393,300,49,0,368,300,31,0,0,0,8000,3304,3237,644,423,161,10,440,377,30,0,411,204,7432,3534,2436,648,516,76,23,0,0,5748,2934,1738,457,359,53,14,0,0,6244,2193,2346,431,316,8,0,377,573,8130,2559,3338,918,489,190,4,6244,2193,2346,674,345,153,3,8150,2562,3348,918,489,190,4
0901313-025,2,0901313-025,2809,1441,1254,3204,1674,1445,2601,1190,1200,2587,1395,1138,2558,1219,1305,2955,1775,1055,2996,1414,1373,4890,4320,245,99,140,75,0,84,130,0,0,0,5893,4914,249,151,455,124,0,0,0,4890,4015,360,95,335,90,0,80,130,0,0,0,0,5876,4575,359,100,709,133,0,86,424,0,0,0,432,6041,5503,206,83,225,60,5,0,0,4921,4510,131,53,196,44,3,0,0,4698,3941,186,67,305,8,8,29,154,5566,4640,260,122,371,91,24,4698,3941,186,87,336,71,16,5570,4644,260,122,371,91,24
0900101-168,3,0900101-168,2317,1233,1046,2802,1562,1211,2127,991,1105,2101,1191,899,1997,997,991,2416,1506,851,2482,1154,1216,3635,2975,425,208,13,6,0,202,13,0,12,0,4776,3667,714,412,52,10,0,0,0,3637,2481,599,502,8,25,0,494,8,0,0,30,0,4764,3026,1016,750,31,58,0,616,13,0,0,1,93,4909,3751,579,475,120,22,7,0,0,3904,3126,368,317,86,16,6,0,0,4066,2650,709,466,87,0,0,23,131,5011,3032,1053,794,171,66,8,4066,2650,709,600,119,49,5,5016,3035,1054,795,171,66,8
0900101-002,5,0900101-002,2124,1060,1030,2577,1370,1170,1958,883,1033,1942,1056,873,1913,890,1010,2172,1131,1009,2208,1041,1075,3225,2689,250,50,233,0,0,50,233,0,0,0,4384,3449,406,53,456,0,0,0,0,3266,2530,255,25,443,0,0,25,443,0,0,4,0,4491,3186,491,25,750,0,13,25,719,0,0,22,48,3997,3478,237,77,180,12,5,0,0,3011,2664,147,49,130,9,5,0,0,3463,2663,357,99,198,4,0,42,100,4429,3264,513,202,317,39,4,3463,2663,357,129,210,28,4,4433,3268,513,202,317,39,4
0900505-006,5,0900505-006,903,629,249,1032,760,250,867,565,265,868,642,217,849,563,275,910,639,237,923,622,248,1010,955,29,4,25,0,0,4,25,0,4,0,1291,1134,99,17,63,12,10,0,0,1095,1035,35,4,20,0,0,4,20,0,0,4,0,1344,1171,96,21,72,15,13,6,53,0,0,0,18,1420,1357,34,9,16,7,0,0,0,1141,1106,17,5,10,6,0,0,0,1355,1254,40,0,17,1,0,5,38,1567,1433,61,25,38,12,0,1355,1254,40,17,28,11,0,1567,1433,61,25,38,12,0
0900303-022,1,0900303-022,3379,1751,1537,4181,2200,1901,3040,1337,1527,2994,1642,1312,2972,1405,1534,3491,2135,1271,3621,1764,1705,6303,4883,711,285,377,50,0,275,182,0,0,0,7783,5701,1149,488,415,122,0,0,0,6082,5067,598,179,190,56,0,167,165,0,0,0,0,7566,6058,908,344,214,133,0,268,189,0,0,0,144,8212,6822,715,475,215,57,3,0,0,6684,5732,462,322,162,44,3,0,0,6865,5183,797,323,230,14,2,34,282,8386,6016,1194,700,373,221,13,6865,5183,797,496,269,173,11,8406,6031,1194,700,373,221,13
0900303-169,1,0900303-169,1382,955,395,1595,1179,401,1283,769,428,1267,905,353,1253,807,429,1435,1071,341,1465,1005,413,2244,1411,101,678,52,4,0,674,52,0,0,0,2892,1656,163,1064,73,10,6,0,0,2316,1462,152,662,40,2,0,658,40,0,0,0,0,3001,1709,198,1108,57,10,4,998,43,0,0,0,51,2475,1383,172,768,158,22,2,0,0,1976,1200,114,542,121,17,2,0,0,2136,1078,201,628,99,4,1,24,101,2626,1217,269,989,148,39,4,2136,1078,201,731,119,30,3,2629,1217,269,990,148,39,4
0900505-011,5,0900505-011,1658,1075,548,1865,1277,568,1571,950,569,1560,1057,484,1539,961,558,1688,1144,508,1716,1081,559,2310,2165,49,20,35,44,0,20,25,4,0,0,2799,2534,62,31,112,41,0,0,0,2565,2300,60,20,129,44,0,20,45,4,0,0,0,2789,2455,79,29,163,41,0,29,48,4,0,22,152,2979,2739,94,44,67,31,2,0,0,2414,2251,61,32,44,26,1,0,0,2538,2226,110,26,65,19,0,4,88,3019,2586,156,68,121,78,2,2538,2226,110,47,83,62,2,3020,2587,156,68,121,78,2
0900505-045,5,0900505-045,2028,1234,746,2268,1461,770,1937,1057,795,1926,1222,678,1893,1114,762,2061,1315,697,2082,1242,738,2600,2460,115,0,19,10,0,0,19,0,0,0,3450,3052,236,41,90,31,0,0,0,2595,2375,190,15,14,10,0,15,14,0,0,0,0,3435,2918,370,46,76,31,0,46,55,0,0,15,31,3578,3345,142,36,43,11,0,0,0,2905,2745,110,20,23,8,0,0,0,3033,2734,144,22,41,0,0,19,73,3646,3217,219,52,70,54,0,3033,2734,144,40,53,33,0,3649,3220,219,52,70,54,0
0900303-167,1,0900303-167,2935,2162,705,3291,2525,716,2720,1849,721,2693,2037,621,2657,1860,765,3111,2400,657,3137,2276,741,4243,2344,195,1617,64,4,0,1617,54,0,30,0,5531,2686,234,2544,81,32,31,0,0,4085,2238,188,1574,49,6,0,1395,47,0,0,30,0,5037,2529,224,2212,64,24,29,1972,64,0,0,0,249,5588,2949,499,2001,209,57,4,0,0,4414,2552,331,1410,153,45,4,0,0,4402,2155,430,1476,164,5,0,19,153,5486,2453,663,2191,263,86,6,4402,2155,430,1638,193,61,3,5493,2456,663,2194,263,86,6
0900303-170,1,0900303-170,2978,1922,969,3460,2357,1035,2764,1584,1011,2753,1865,862,2712,1659,1017,3045,2119,860,3097,1930,992,3914,2786,309,663,84,68,0,646,84,0,0,0,4962,3263,506,1025,188,72,3,0,0,3976,2580,340,770,224,56,5,764,222,0,5,0,0,4986,2950,579,1119,344,61,10,1005,295,0,8,10,145,5247,3418,350,1315,217,43,2,0,0,4143,2855,228,924,154,28,1,0,0,4543,2954,418,790,190,6,1,22,162,5462,3363,593,1210,299,112,10,4543,2954,418,918,225,86,10,5470,3370,593,1211,299,112,10
0900303-173,1,0900303-173,2830,1428,1313,3480,1894,1517,2535,1036,1332,2489,1334,1120,2476,1105,1343,2985,1828,1065,3057,1412,1469,4685,4132,104,294,138,35,0,269,123,0,0,0,6079,5052,169,528,308,44,0,0,0,4601,4084,93,207,171,40,0,193,161,0,0,0,0,6068,5126,106,402,381,49,0,375,314,8,0,0,139,6184,5179,308,447,256,46,3,0,0,4840,4231,164,268,166,37,1,0,0,5105,4011,323,314,237,4,1,29,186,6258,4697,537,573,340,133,4,5105,4011,323,394,253,107,3,6265,4703,537,574,340,133,4
0901111-052,2,0901111-052,1312,486,778,1524,566,918,1217,377,775,1190,499,666,1192,364,810,1338,652,629,1385,431,862,2000,1895,40,0,28,14,30,0,20,10,0,0,2535,2378,73,35,33,12,27,0,0,2110,1925,48,95,8,18,14,0,0,4,14,0,0,2530,2295,91,150,12,18,13,0,0,7,5,0,132,2603,2461,41,28,27,56,0,0,0,2026,1944,25,15,15,34,0,0,0,2096,1935,48,6,14,16,0,0,77,2570,2335,73,41,46,83,9,2096,1935,48,19,27,68,5,2571,2336,73,41,46,83,9
0901111-040,2,0901111-040,3341,1925,1315,4389,2632,1678,3112,1639,1282,3052,1956,1054,2997,1627,1320,2672,1542,1032,3859,2124,1508,8117,5516,778,811,956,87,0,761,956,0,0,0,11449,6498,1661,1949,1889,766,0,0,0,7605,5409,782,415,789,206,0,360,789,0,0,55,0,10669,6573,1675,974,1568,564,54,591,1374,1,0,0,457,11228,6866,1310,1348,1607,320,51,0,0,8803,5803,815,846,1235,205,32,0,0,8867,4953,1294,742,1282,66,18,61,451,11257,5721,2008,1735,1754,425,56,8867,4953,1294,1131,1355,317,38,11301,5744,2013,1738,1758,425,56
0901111-001,2,0901111-001,1289,563,683,1548,703,817,1191,420,667,1177,564,594,1162,427,723,1349,768,529,1390,536,764,2085,1955,39,40,29,4,0,40,15,0,10,0,2589,2354,60,87,87,19,24,0,0,1975,1860,34,39,34,0,0,39,15,0,0,10,0,2614,2382,54,94,90,5,27,80,15,0,0,0,83,2627,2445,91,48,28,23,2,0,0,2076,1966,56,27,16,13,0,0,0,2042,1860,60,28,10,2,4,1,77,2429,2145,105,74,46,43,8,2042,1860,60,54,28,29,6,2437,2153,105,74,46,43,8
0901111-048,2,0901111-048,3945,2216,1624,4886,2815,1988,3630,1750,1625,3584,2251,1280,3524,1789,1676,4007,2619,1275,4134,2047,1886,6455,5996,207,121,55,54,0,108,55,10,15,0,8273,7248,468,371,230,115,69,0,0,6403,5801,185,209,50,139,0,175,50,25,0,0,0,8068,6830,408,388,258,283,0,215,97,25,0,0,496,8680,7981,206,183,240,122,8,0,0,6647,6219,121,103,161,67,5,0,0,6777,6104,190,68,142,27,3,21,222,8404,7396,305,245,264,190,21,6777,6104,190,139,185,123,14,8416,7408,305,245,264,190,21
0900909-084,3,0900909-084,1510,685,785,1835,899,910,1374,508,803,1343,644,688,1314,511,779,1598,889,661,1653,676,882,2542,1914,288,331,13,13,0,301,6,0,10,0,3585,2403,538,490,338,82,0,0,0,2490,1931,223,207,44,16,0,175,37,0,0,79,0,3521,2538,447,394,309,20,0,188,203,0,0,2,149,3836,3234,346,189,68,15,0,0,0,3015,2626,222,109,40,8,0,0,0,3205,2326,413,193,52,0,1,62,158,3954,2685,608,405,122,60,5,3205,2326,413,280,78,47,5,3966,2695,608,405,122,60,5
0900909-079,3,0900909-079,2027,857,1127,2496,1136,1323,1816,606,1155,1775,789,964,1740,643,1082,2126,1116,955,2218,848,1260,4034,3099,464,353,0,0,0,270,0,0,126,0,5406,3772,656,964,143,1,0,0,0,3722,2821,664,223,0,0,0,169,0,0,0,0,0,4905,3382,1010,484,31,1,0,249,31,0,0,24,208,5579,4428,542,330,238,41,6,0,0,4253,3512,338,207,162,30,6,0,0,4166,3002,569,270,63,4,0,71,187,5375,3578,943,611,125,83,7,4166,3002,569,382,83,64,3,5389,3588,944,612,125,83,7
0900909-023,5,0900909-023,1061,535,497,1220,648,546,979,409,509,979,531,436,967,439,517,1126,657,442,1126,535,533,1736,1676,30,1,30,0,0,1,30,0,0,0,2172,2037,58,9,76,0,0,0,0,1689,1643,2,14,33,0,0,5,33,0,0,0,0,2034,1917,25,17,81,0,0,3,75,0,0,0,12,2085,1844,56,52,128,5,2,0,0,1571,1411,36,36,83,5,2,0,0,1634,1374,90,52,69,0,0,7,42,2079,1678,148,103,124,33,0,1634,1374,90,69,80,18,0,2079,1678,148,103,124,33,0
0900909-017,5,0900909-017,3552,1845,1636,4163,2403,1696,3323,1439,1739,3304,1837,1444,3263,1553,1687,3661,2057,1544,3669,1803,1689,5145,4603,59,30,400,25,0,30,367,0,34,0,6624,5849,93,115,521,58,0,0,0,5274,4735,185,46,272,17,0,46,246,0,0,23,0,6586,5827,211,190,321,39,0,20,269,0,0,21,238,6346,5726,214,64,321,26,1,0,0,4732,4321,134,43,217,18,1,0,0,5098,4377,234,76,282,1,1,13,114,6467,5350,387,183,473,49,3,5098,4377,234,120,311,27,3,6469,5352,387,183,473,49,3
0900909-070,3,0900909-070,2025,1035,945,2464,1334,1085,1854,805,994,1831,993,819,1810,854,944,2057,1268,750,2118,960,1048,3140,2681,110,125,216,5,0,117,213,0,1,0,4144,3319,201,288,335,6,0,0,0,3319,2780,194,126,222,0,0,126,219,0,0,1,0,4222,3378,217,271,356,3,0,264,331,0,0,0,31,3872,3278,177,135,269,17,2,0,0,3030,2644,117,90,174,12,2,0,0,3294,2660,213,93,195,2,0,18,113,3861,2991,304,195,282,30,6,3294,2660,213,142,209,26,5,3870,3000,304,195,282,30,6
0900909-162,5,0900909-162,680,558,110,847,642,192,587,478,100,567,479,83,560,457,100,744,632,93,820,672,127,1945,320,873,742,0,8,0,696,0,0,0,0,3072,511,1464,1180,19,44,0,0,0,2436,532,1054,841,2,16,0,779,2,0,0,0,0,3461,668,1598,1291,59,27,0,1039,6,0,0,39,109,3192,678,1487,1125,53,50,4,0,0,2401,606,1036,810,35,42,4,0,0,2739,415,1299,884,20,5,0,35,81,3906,501,2016,1499,40,79,10,2739,415,1299,1060,25,48,9,3981,505,2055,1531,40,79,10
0901111-039,2,0901111-039,1164,669,460,1391,796,563,1074,546,455,1061,664,382,1053,565,477,1212,812,364,1248,645,538,2373,2089,92,83,99,35,0,51,95,0,0,0,3048,2644,110,120,165,57,0,0,0,2255,1952,123,65,53,65,0,14,48,10,0,43,0,3070,2602,162,186,130,158,0,26,113,9,0,0,155,2835,2131,214,200,262,63,7,0,0,2233,1771,125,111,194,36,5,0,0,2282,1740,187,75,118,17,1,19,125,2751,1982,290,218,197,82,14,2282,1740,187,143,147,67,6,2761,1990,290,218,197,82,14
0901111-042,2,0901111-042,1197,731,416,1531,942,545,1030,567,391,1023,653,334,1012,567,422,1264,892,324,1321,756,486,3660,2175,335,575,245,270,0,575,235,200,55,0,5334,2638,750,1099,632,479,44,0,0,3825,2555,280,430,325,213,0,430,275,169,0,20,0,5280,3192,514,819,593,233,0,540,489,168,0,133,244,4768,2901,608,685,542,159,4,0,0,3804,2441,385,461,465,100,4,0,0,3735,2054,591,440,330,36,2,49,233,4644,2345,931,895,446,204,16,3735,2054,591,622,363,149,8,4668,2357,934,899,447,204,16
0901111-023,2,0901111-023,1168,626,506,1428,822,567,1074,503,517,1059,610,429,1040,499,527,1205,740,434,1225,591,552,1739,1575,91,19,36,22,0,18,26,0,0,0,2173,1889,120,107,103,35,0,0,0,1512,1359,84,22,21,31,0,22,10,0,0,0,0,2231,1934,129,167,41,77,0,31,12,0,0,0,127,2531,2165,127,111,110,53,9,0,0,1897,1669,69,61,77,35,6,0,0,1963,1672,108,45,59,14,3,4,58,2466,2020,171,145,109,61,7,1963,1672,108,80,77,41,5,2471,2024,171,145,109,61,7
0901111-028,2,0901111-028,1217,591,581,1549,750,747,1096,453,572,1067,592,462,1064,460,588,1254,744,461,1284,554,665,3866,2273,689,536,266,116,0,474,225,16,4,0,4607,2564,895,734,381,214,7,0,0,3943,2730,509,420,191,76,0,375,170,18,0,34,0,4670,3004,669,627,338,184,35,426,276,23,0,34,233,4528,3003,408,447,551,204,6,0,0,3673,2487,330,357,406,133,5,0,0,3606,2144,462,578,192,96,6,17,111,4148,2455,545,689,258,251,14,3606,2144,462,638,209,188,8,3019,2108,258,209,254,242,14
0900909-015,3,0900909-015,2141,1142,961,2578,1368,1186,2018,912,1029,1979,1148,817,1956,948,989,2146,1415,695,2202,1073,1051,3582,3017,286,46,228,0,0,23,228,0,0,0,4335,3465,408,103,356,0,0,0,0,3083,2581,325,56,108,10,0,31,108,0,0,0,0,3933,3068,469,159,187,8,0,105,164,0,0,0,127,4123,3533,216,136,223,28,4,0,0,3368,2960,147,92,157,19,4,0,0,3476,2885,196,78,219,1,2,13,82,4124,3344,281,161,297,38,3,3476,2885,196,118,240,23,3,4127,3347,281,161,297,38,3
0900909-045,3,0900909-045,2276,1669,567,2588,1962,606,2097,1425,619,2079,1584,475,2047,1459,565,2373,1849,475,2458,1744,628,4061,2144,650,1047,153,40,30,1032,139,25,0,0,5258,2810,899,1128,334,51,29,0,0,3883,1948,732,990,152,55,15,805,144,40,15,0,0,5016,2518,1024,1142,282,79,17,867,224,40,0,30,313,5009,3061,680,985,331,34,1,0,0,3963,2610,453,651,260,23,0,0,0,4134,2211,666,833,313,5,0,12,94,5236,2556,1003,1314,442,76,3,4134,2211,666,952,334,54,2,5249,2560,1004,1318,443,76,3
0900909-181,3,0900909-181,1909,1197,665,2277,1437,818,1708,958,691,1659,1103,533,1634,994,620,2036,1478,496,2167,1217,847,4029,2314,916,735,60,52,0,684,60,0,0,0,5755,2575,2160,929,81,210,0,0,0,3796,1955,919,868,43,40,0,827,43,0,0,0,0,5664,2182,2375,1164,57,127,0,957,57,0,0,46,46,5705,3916,916,733,157,44,4,0,0,4608,3386,606,499,117,35,2,0,0,4618,2492,1176,628,132,5,0,24,161,5863,2817,1750,1124,204,138,10,4618,2492,1176,794,162,97,7,5879,2823,1755,1125,204,138,10
0900909-029,3,0900909-029,2019,883,1108,2586,1097,1467,1774,620,1113,1716,782,923,1693,640,1039,2130,1257,841,2232,897,1272,3770,3269,260,149,89,0,0,149,65,0,0,0,4666,3843,473,266,129,10,0,0,0,3564,2965,413,93,99,0,0,93,87,0,0,0,0,4510,3460,737,315,132,12,0,165,121,0,0,0,29,4881,4213,404,136,123,24,0,0,0,3896,3444,258,98,84,21,0,0,0,3842,2969,458,169,142,7,0,18,79,4534,3352,669,271,207,48,7,3842,2969,458,199,164,39,5,4542,3359,669,271,207,48,7
0900909-173,5,0900909-173,1523,887,603,1782,1045,716,1352,703,590,1300,775,505,1277,708,557,1681,1103,536,1756,986,712,3478,2027,787,553,70,65,0,515,49,0,14,0,4832,2337,1234,1096,179,247,13,0,0,3659,2144,830,580,84,45,0,545,62,0,0,14,0,4941,2318,1557,942,172,198,13,725,117,0,0,0,224,5532,3041,1405,983,158,76,22,0,0,4263,2637,898,619,111,44,11,0,0,3787,1673,1098,683,107,6,2,46,172,4940,1884,1658,1279,222,87,17,3787,1673,1098,898,137,63,15,4972,1894,1670,1287,222,87,17
0900909-130,3,0900909-130,3824,1731,2027,4600,2074,2450,3531,1281,2144,3444,1672,1742,3389,1350,1999,3984,2351,1556,4108,1699,2300,6104,5812,156,31,80,20,0,26,80,0,0,0,7578,7048,200,53,252,18,0,0,0,6201,5867,181,26,105,15,0,21,105,0,0,0,0,7513,6908,202,50,334,16,0,25,156,0,0,4,218,7701,7168,236,127,127,43,8,0,0,6052,5709,144,92,80,27,4,0,0,5983,5413,272,52,113,5,0,16,112,7240,6426,401,129,173,65,3,5983,5413,272,87,126,50,2,7244,6430,401,129,173,65,3
0900909-196,3,0900909-196,860,697,152,972,785,179,733,566,152,728,611,113,716,561,150,995,835,141,1049,837,184,2140,482,491,1115,23,0,0,1075,23,0,24,0,3304,541,1166,1685,43,30,0,0,0,2429,596,651,1118,48,0,0,1109,48,0,0,16,0,3959,715,1706,2002,75,19,0,1376,68,0,0,0,97,3394,1165,759,1366,169,45,21,0,0,2602,987,502,1016,122,28,12,0,0,2636,675,603,1143,117,7,2,15,74,3397,770,891,1623,178,83,12,2636,675,603,1236,139,66,10,3420,773,897,1636,179,83,12
0900909-197,3,0900909-197,1640,1270,346,1973,1518,438,1455,1040,375,1424,1129,289,1389,1040,338,1749,1480,243,1841,1397,397,3470,1142,676,1525,16,17,0,1430,16,0,115,0,5255,1458,1145,2670,66,159,0,0,0,3074,955,893,1098,53,0,0,1071,53,0,0,77,0,5213,1396,1459,2155,230,89,0,1934,204,0,0,34,187,5935,2164,1305,2244,362,71,51,0,0,4737,1992,902,1630,280,53,44,0,0,4408,1083,1068,1706,367,13,1,38,132,5757,1261,1564,2483,548,119,4,4408,1083,1068,1880,412,84,4,5788,1264,1570,2497,550,119,4
0900909-062,5,0900909-062,1385,822,519,1666,1002,630,1259,647,551,1236,786,427,1222,658,544,1457,1005,410,1484,842,553,3106,2163,551,331,7,46,0,296,7,0,0,0,3891,2712,676,502,7,46,0,0,0,3275,2443,550,264,24,5,0,226,10,0,0,0,0,4120,3127,636,354,25,10,0,284,12,0,0,0,54,3776,2547,802,335,118,33,0,0,0,2976,2162,511,225,86,21,0,0,0,3036,1714,974,175,59,6,0,19,89,3891,1972,1457,416,81,116,6,3036,1714,974,274,72,77,3,3900,1977,1459,416,81,116,6
0900909-150,3,0900909-150,798,345,437,934,424,499,749,256,468,736,346,385,726,279,440,813,438,358,830,333,466,1339,1249,32,4,53,0,0,4,47,0,0,0,1561,1455,43,4,57,0,0,0,0,1193,1135,25,0,34,0,0,0,29,0,0,0,0,1464,1395,33,0,37,0,0,0,33,0,0,0,4,1461,1364,36,17,36,7,1,0,0,1122,1061,26,11,20,4,1,0,0,1107,1016,31,2,18,1,2,0,37,1347,1210,53,12,38,17,2,1107,1016,31,8,28,12,2,1348,1211,53,12,38,17,2
0900909-022,5,0900909-022,1916,938,937,2262,1254,967,1840,726,1033,1825,958,848,1805,791,1003,1897,1029,839,1910,875,936,2745,2377,40,105,220,4,0,99,220,2,0,0,3509,2955,58,152,383,5,0,0,0,2632,2247,38,61,280,1,0,55,227,1,0,0,0,3522,2902,113,99,436,2,0,59,324,1,0,0,124,3281,2864,90,63,246,21,0,0,0,2439,2196,47,37,154,9,0,0,0,2736,2276,120,51,201,7,0,15,66,3566,2869,180,97,344,30,2,2736,2276,120,65,220,26,1,3566,2869,180,97,344,30,2
0900909-098,3,0900909-098,243,211,28,254,199,49,173,138,29,172,153,18,151,135,16,337,305,25,378,335,34,914,236,402,248,16,11,0,246,16,10,0,0,1542,334,756,433,27,12,0,0,0,853,260,389,178,16,7,0,156,16,6,0,0,0,1518,337,841,370,27,8,0,265,27,7,0,2,38,1622,656,606,323,72,24,1,0,0,1290,615,400,227,65,17,1,0,0,758,116,428,178,13,0,0,3,20,1192,130,732,403,21,48,3,758,116,428,234,16,19,2,1217,132,745,415,21,48,3
