GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
0901111-021,2,0901111-021,3840,1875,1820,4639,2423,2089,3526,1480,1824,3486,1863,1539,3443,1480,1920,3919,2215,1561,4037,1818,1952,6385,5276,338,158,287,322,0,134,287,299,4,0,8474,6634,439,397,610,461,0,0,0,6708,5482,376,204,293,351,0,100,291,250,0,4,0,8777,6677,567,495,618,453,0,93,546,322,0,0,573,8346,6626,500,521,374,552,18,0,0,6354,5231,306,328,253,343,10,0,0,6712,5199,392,231,233,300,12,36,309,8683,6451,626,550,431,730,42,6712,5199,392,363,301,505,34,8700,6463,626,551,431,734,42
0901111-016,2,0901111-016,1959,1063,832,2383,1370,946,1838,835,883,1806,1062,720,1777,857,900,1971,1261,656,2055,1026,891,2913,2359,154,203,157,4,0,199,116,0,35,0,3707,2893,266,332,238,47,16,0,0,2845,2235,95,246,192,35,0,242,156,0,0,50,0,3722,2853,161,387,307,104,21,274,236,0,0,7,194,4044,3340,154,224,324,69,11,0,0,3160,2699,94,144,208,47,8,0,0,3251,2605,171,107,197,17,6,9,139,4002,3082,266,209,334,129,26,3251,2605,171,143,237,108,16,4007,3087,266,209,334,129,26
0901111-019,2,0901111-019,2599,1172,1331,3047,1392,1571,2442,940,1297,2418,1192,1170,2391,950,1397,2662,1482,1101,2696,1098,1432,3970,3849,39,8,72,0,0,8,37,0,0,0,4947,4776,68,8,94,0,0,0,0,4186,3931,201,0,52,0,0,0,17,0,0,0,0,5102,4773,243,8,87,8,0,0,26,0,0,0,61,4878,4591,132,74,41,54,4,0,0,3703,3530,81,48,24,35,2,0,0,3918,3588,142,27,19,17,0,9,116,4859,4388,195,75,54,102,5,3918,3588,142,55,30,77,4,4864,4393,195,75,54,102,5
0901111-057,2,0901111-057,2678,1230,1360,3110,1486,1547,2431,927,1366,2382,1215,1131,2362,922,1405,2842,1659,1111,2919,1175,1572,4848,4240,194,264,69,57,0,249,69,57,20,0,6039,4889,436,474,146,183,20,0,0,4596,4025,181,288,89,3,0,273,89,3,0,10,0,6033,4921,411,537,157,130,11,434,146,3,0,0,117,6504,5455,335,291,303,202,14,0,0,4986,4299,214,188,206,113,8,0,0,4807,3942,277,144,133,47,3,20,241,6089,4805,461,385,242,210,20,4807,3942,277,242,197,145,16,6100,4815,461,385,242,210,20
0901111-047,2,0901111-047,1781,1197,532,2006,1442,534,1714,974,542,1705,1221,470,1677,1055,601,1790,1271,482,1810,1201,540,2512,2434,6,9,55,4,0,9,47,0,0,0,2858,2728,16,40,84,3,0,0,0,2475,2398,17,4,50,5,0,4,46,0,0,0,0,2787,2632,80,12,53,72,0,10,49,0,0,0,14,2588,2485,29,33,30,11,1,0,0,2206,2141,21,21,13,9,1,0,0,2317,2203,45,13,14,3,0,5,34,2628,2460,59,34,43,25,3,2317,2203,45,21,26,17,2,2633,2465,59,34,43,25,3
0901111-013,2,0901111-013,1438,930,461,1750,1171,536,1271,728,471,1252,881,354,1249,746,487,1507,1075,384,1578,974,513,2574,1732,438,300,102,11,0,296,80,0,0,0,3662,1962,699,674,351,21,0,0,0,2616,1702,465,342,105,12,0,332,95,0,0,0,0,3605,1840,837,663,314,24,0,597,239,0,0,8,85,5338,3088,983,945,457,159,23,0,0,4081,2684,560,513,355,108,16,0,0,3174,1827,637,280,205,21,4,28,172,4226,2092,1114,730,331,140,26,3174,1827,637,446,240,98,19,4245,2101,1118,733,332,140,26
0901111-006,2,0901111-006,3821,2199,1538,4549,2813,1658,3579,1781,1635,3557,2192,1336,3509,1799,1685,3865,2483,1305,3934,2139,1606,5189,4452,132,120,483,0,0,120,473,0,0,0,7101,5752,382,196,769,0,0,0,0,5137,4263,213,135,501,34,0,135,490,0,0,0,0,7102,5472,545,239,792,33,0,208,760,0,0,55,64,6639,5526,216,113,760,44,13,0,0,4873,4178,126,71,475,25,9,0,0,5556,4436,254,87,580,9,0,23,167,7270,5633,381,184,924,106,10,5556,4436,254,133,649,70,7,7277,5639,381,184,924,106,10
0901111-041,2,0901111-041,1905,1312,527,2392,1653,683,1661,1070,501,1627,1194,401,1604,1041,525,2061,1521,450,2178,1411,621,5529,3197,1123,827,291,157,0,727,291,45,10,0,7209,3700,1766,1713,396,594,0,0,0,5699,3049,1278,1025,240,137,0,946,240,55,0,10,0,7704,3417,2099,2307,355,464,0,1545,277,99,0,24,247,8385,4611,1439,1655,617,263,63,0,0,6432,3887,913,1075,483,164,37,0,0,6336,3049,1421,1085,324,32,8,72,345,8129,3509,2139,1956,455,266,41,6336,3049,1421,1391,371,187,36,8190,3530,2149,1965,456,266,41
0901111-046,2,0901111-046,1377,578,752,1557,641,882,1274,427,766,1252,599,623,1245,441,781,1475,838,582,1509,535,864,2215,1995,30,109,10,64,15,74,10,20,15,0,2906,2487,114,215,36,146,30,0,0,2265,1940,114,130,15,74,4,90,15,20,4,10,0,2887,2392,214,203,39,116,16,90,39,39,7,0,106,2984,2654,138,112,37,60,2,0,0,2264,2091,65,46,29,32,2,0,0,2324,2035,88,41,42,8,1,8,101,2967,2494,152,148,70,109,5,2324,2035,88,79,52,60,2,2975,2501,152,148,70,109,5
0901111-034,2,0901111-034,2826,2138,591,3444,2619,756,2563,1853,595,2515,2020,441,2441,1781,600,2888,2320,441,3086,2229,689,6234,3220,1649,1152,106,167,5,953,100,4,42,0,9301,3772,3688,1791,313,254,37,0,0,6351,3454,1574,1034,188,123,2,909,181,2,2,31,0,9550,4086,3667,1728,336,204,20,1033,288,2,2,30,438,9793,4340,2876,2500,296,306,64,0,0,7474,3811,1860,1640,227,196,39,0,0,8136,3434,2747,1364,118,55,6,46,366,10365,3826,3928,2732,285,416,40,8136,3434,2747,1962,189,301,28,10459,3853,3961,2755,285,416,40
