,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
77,6,5,4,3,0,15,8,5,7,3,3,5,0,8,4,3,5,2,2,3,0,5,9,8,5,9,5,8,19,3,5,3,5
78,6,5,4,3,0,15,8,5,7,3,3,5,0,8,4,3,5,3,2,3,0,5,9,8,5,9,5,8,19,3,5,3,5
79,6,5,4,3,0,15,8,5,7,3,3,5,0,8,3,3,5,3,2,3,0,5,9,8,5,9,5,8,19,3,5,3,4
80,6,5,4,3,0,15,8,5,7,3,3,5,0,8,4,4,5,3,2,3,0,5,9,8,5,9,5,8,19,3,5,3,4
81,6,5,4,3,0,15,8,5,7,3,3,6,0,8,4,3,5,3,2,3,1,5,9,8,5,9,5,8,19,3,5,3,4
82,6,5,4,3,0,15,8,5,7,3,3,5,0,8,4,3,5,3,2,3,0,5,9,8,5,9,5,8,19,3,5,3,4
83,6,5,4,3,0,15,8,5,7,3,3,5,0,8,4,4,5,2,1,3,0,5,8,8,5,10,5,7,19,3,5,3,4
84,6,5,4,3,0,15,8,5,7,3,3,5,1,8,4,4,5,2,1,3,0,5,8,8,5,10,5,7,19,3,5,3,4
85,6,5,4,3,0,15,8,5,8,3,3,5,1,8,4,4,5,2,1,3,0,5,8,9,5,9,5,7,19,3,5,3,4
86,6,5,4,3,0,15,8,5,7,3,3,5,1,8,4,3,5,3,1,3,0,5,9,9,5,9,5,7,19,3,4,3,4
87,6,5,4,3,0,15,8,5,7,3,3,5,1,8,4,3,5,2,1,3,1,5,9,9,5,9,5,7,19,3,4,3,4
88,6,5,4,3,0,15,8,5,7,3,3,5,1,8,4,3,5,2,1,3,0,5,8,9,5,9,5,7,19,3,4,3,4
89,6,4,4,3,0,16,8,5,7,3,3,5,1,8,4,3,5,2,1,3,1,5,8,9,5,9,5,7,19,3,4,3,4
90,6,4,4,3,0,16,8,5,7,3,3,5,1,8,4,3,5,2,1,3,1,5,8,9,5,9,5,7,19,3,4,3,4
91,6,4,4,3,0,16,8,5,7,3,3,5,1,8,5,3,5,2,1,3,1,5,8,9,5,9,5,7,19,3,4,3,4
92,6,4,4,3,0,16,8,5,7,3,3,5,1,8,5,3,5,2,1,3,1,5,8,9,5,9,5,7,19,3,4,3,4
93,6,4,4,3,0,16,8,5,7,3,3,5,1,8,4,3,5,2,1,3,1,5,7,9,5,9,5,7,19,3,4,3,4
94,6,5,4,3,0,16,8,5,7,2,3,5,1,8,4,3,5,2,1,3,1,5,8,9,5,9,5,7,19,3,4,3,4
95,6,5,4,3,0,16,8,5,7,2,3,5,1,8,4,3,5,2,2,3,1,5,8,9,5,9,5,7,19,3,4,3,4
96,6,5,4,3,0,16,8,5,7,2,3,5,1,8,4,3,5,2,2,3,1,4,8,9,5,9,5,7,19,3,4,3,4
97,6,5,4,3,0,15,8,5,7,2,3,5,1,8,4,3,5,2,2,3,1,4,8,9,5,9,5,7,19,3,4,3,4
98,6,5,4,3,0,15,9,5,7,3,3,5,1,8,4,3,5,2,1,3,1,4,8,9,5,9,5,7,19,3,4,3,4
99,6,5,4,3,0,15,9,5,7,2,3,5,0,8,5,3,5,2,1,3,1,4,8,8,5,9,5,7,18,3,4,3,4
100,6,5,4,3,0,15,9,5,7,2,3,5,0,8,5,3,5,2,1,3,1,4,8,8,5,9,5,7,18,3,4,3,4
101,7,5,4,3,0,15,9,5,7,2,3,5,0,8,5,4,5,3,1,3,1,4,8,8,5,9,5,7,18,3,4,3,5
102,7,5,4,3,0,15,9,5,7,3,3,5,0,8,5,4,5,2,1,3,0,4,8,8,5,9,5,7,18,3,4,3,4
103,7,5,4,3,0,15,9,5,7,2,3,5,0,8,5,4,5,2,2,3,0,4,8,9,5,9,5,7,18,3,4,3,4
104,7,5,4,3,0,15,9,5,7,2,2,5,0,8,5,4,5,2,2,3,0,4,8,9,5,9,5,7,18,3,4,3,4
105,7,4,4,3,0,15,8,5,7,3,3,5,0,8,4,4,5,2,2,3,1,5,8,9,5,9,5,7,18,3,4,3,4
106,7,4,4,3,0,15,8,5,7,3,3,5,0,8,4,4,5,2,2,3,1,5,9,9,5,9,5,7,18,3,4,3,4
107,7,5,4,3,0,15,8,5,7,2,3,5,0,8,4,4,5,2,1,3,1,4,9,9,5,10,5,7,18,3,4,3,4
108,7,5,4,3,0,16,8,5,7,2,3,5,0,8,4,3,5,2,2,3,1,4,9,9,5,10,5,7,18,3,4,3,4
109,7,5,4,3,0,16,8,5,7,2,3,5,0,8,4,3,5,2,1,3,1,4,9,9,5,9,5,7,18,3,4,3,4
110,7,5,4,3,0,16,8,5,6,2,3,5,0,8,4,3,5,2,1,3,1,4,9,9,5,9,5,7,18,2,4,3,4
111,7,5,4,3,0,16,8,5,6,2,3,5,0,8,4,3,5,2,1,3,1,4,9,9,5,9,5,7,18,3,5,3,4
112,7,5,4,3,0,16,9,5,6,2,3,5,1,8,4,3,5,2,1,3,1,4,9,9,5,9,5,7,18,3,5,3,4
113,7,5,4,3,0,16,9,5,7,2,3,5,1,8,4,3,5,2,1,3,1,4,9,9,5,9,5,7,18,3,5,3,4
114,7,5,4,3,0,15,9,5,7,2,3,5,1,8,4,3,5,2,1,3,1,4,9,9,5,9,5,7,18,2,5,3,5
115,7,5,4,3,0,15,9,5,8,2,3,5,1,8,4,4,5,2,1,3,1,4,9,10,5,9,5,7,18,3,5,3,5
116,7,5,4,3,0,15,9,5,8,2,3,5,1,8,5,4,5,2,1,3,1,4,9,10,5,9,5,7,18,3,5,3,5
