,AL,AZ,AR,CO,CT,FL,GA,IL,IN,IA,KS,LA,MD,MI,MN,MS,MO,NE,NV,NJ,NM,NY,NC,OH,OK,PA,SC,TN,TX,UT,VA,WA,WI
58,1,4,0,5,5,13,5,12,3,1,1,1,7,5,4,1,3,1,3,10,2,20,6,4,0,7,2,2,19,1,6,7,3
59,1,5,0,5,5,13,5,12,2,1,1,1,7,6,4,1,3,1,3,10,2,21,6,5,0,7,2,2,19,1,6,7,3
60,1,5,0,5,5,13,4,12,2,1,1,1,7,6,4,1,3,1,3,10,2,21,6,6,0,7,2,2,19,1,7,7,3
61,1,4,0,5,5,13,4,12,2,1,1,1,7,6,4,1,3,1,2,10,2,21,6,6,0,7,2,2,19,1,7,7,3
62,1,4,0,5,5,13,4,12,2,0,1,0,7,5,4,1,3,1,2,10,2,21,6,7,0,7,2,2,19,1,6,7,3
63,1,5,0,5,5,13,4,12,2,0,1,0,8,5,4,1,3,1,2,11,2,21,6,7,0,7,2,1,19,1,6,7,3
64,1,5,0,5,5,13,4,12,2,0,1,0,8,5,4,1,3,1,3,11,2,21,6,7,0,7,2,1,19,1,6,7,3
65,1,5,0,5,5,13,5,12,2,0,1,1,8,5,4,1,3,1,2,11,2,21,7,7,0,8,2,1,19,1,6,7,3
66,1,4,0,5,5,13,5,12,2,0,1,1,7,5,4,1,3,1,2,11,2,21,6,7,0,8,2,1,19,1,7,7,3
67,1,4,0,5,5,13,5,12,2,1,1,1,7,5,4,1,3,1,2,10,2,21,6,7,0,8,2,1,19,1,6,7,3
68,1,4,0,5,5,13,5,12,2,1,1,1,7,5,4,1,3,1,2,10,2,21,6,7,0,8,2,1,19,1,6,7,3
69,1,4,0,5,5,13,5,12,2,1,1,1,7,5,4,1,3,1,3,10,2,21,6,7,0,8,2,2,19,1,6,7,3
70,1,4,0,5,5,13,5,12,2,2,1,1,7,5,5,1,3,1,3,10,2,21,6,7,0,9,2,2,19,1,6,7,3
71,1,4,0,5,5,13,6,12,2,2,1,1,8,5,5,1,3,1,3,10,2,21,6,7,0,9,2,2,19,1,6,7,3
72,1,4,0,5,5,13,6,12,2,2,1,1,8,5,5,0,3,1,3,10,2,21,6,7,0,9,2,2,19,1,6,7,3
73,1,4,0,5,5,13,6,12,2,2,1,1,8,5,5,1,3,1,3,10,2,21,6,7,0,9,2,2,19,1,6,7,3
74,1,4,0,5,5,13,6,12,2,2,1,1,8,5,5,1,3,1,3,9,2,21,6,7,0,9,2,1,19,1,6,7,3
75,1,5,0,5,5,13,6,12,2,1,1,1,8,5,5,1,3,1,3,9,2,21,6,7,0,9,2,1,19,1,6,7,3
76,1,5,0,5,5,13,6,12,2,1,1,1,8,5,4,1,3,1,2,10,3,21,6,7,0,8,2,1,19,1,6,7,3
77,1,4,0,5,5,13,6,12,2,1,1,1,8,5,4,1,3,1,2,9,3,21,5,7,0,8,2,1,19,1,6,7,3
78,1,4,0,5,5,13,6,12,2,1,1,1,8,5,4,1,3,0,2,9,3,21,5,7,0,8,2,1,19,1,6,7,3
79,1,4,0,5,5,13,6,12,2,1,1,1,8,5,5,1,3,0,2,9,3,21,5,7,0,8,2,1,19,1,6,7,4
80,1,4,0,5,5,13,6,12,2,1,1,1,8,5,4,0,3,0,2,9,3,21,5,7,0,8,2,1,19,1,6,7,4
81,1,4,0,5,5,13,6,12,2,1,1,0,8,5,4,1,3,0,2,9,2,21,5,7,0,8,2,1,19,1,6,7,4
82,1,4,0,5,5,13,6,12,2,1,1,1,8,5,4,1,3,0,2,9,3,21,5,7,0,8,2,1,19,1,6,7,4
83,1,4,0,5,5,13,6,12,2,1,1,1,8,5,4,0,3,1,3,9,3,21,6,7,0,7,2,2,19,1,6,7,4
84,1,4,0,5,5,13,6,12,2,1,1,1,7,5,4,0,3,1,3,9,3,21,6,7,0,7,2,2,19,1,6,7,4
85,1,4,0,5,5,13,6,12,1,1,1,1,7,5,4,0,3,1,3,9,3,21,6,6,0,8,2,2,19,1,6,7,4
86,1,4,0,5,5,13,6,12,2,1,1,1,7,5,4,1,3,0,3,9,3,21,5,6,0,8,2,2,19,1,7,7,4
87,1,4,0,5,5,13,6,12,2,1,1,1,7,5,4,1,3,1,3,9,2,21,5,6,0,8,2,2,19,1,7,7,4
88,1,4,0,5,5,13,6,12,2,1,1,1,7,5,4,1,3,1,3,9,3,21,6,6,0,8,2,2,19,1,7,7,4
89,1,5,0,5,5,12,6,12,2,1,1,1,7,5,4,1,3,1,3,9,2,21,6,6,0,8,2,2,19,1,7,7,4
90,1,5,0,5,5,12,6,12,2,1,1,1,7,5,4,1,3,1,3,9,2,21,6,6,0,8,2,2,19,1,7,7,4
91,1,5,0,5,5,12,6,12,2,1,1,1,7,5,3,1,3,1,3,9,2,21,6,6,0,8,2,2,19,1,7,7,4
