GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
47157008079,9,47157008079,2561,1417,1090,2990,1778,1169,2941,1671,1199,2278,1219,1013,2280,1298,947,2599,1301,1209,4965,2355,125,2285,180,165,10,2120,180,0,4,0,6462,2915,231,3066,240,171,10,0,0,5315,2320,65,2720,194,180,15,2540,194,0,15,0,0,6758,2768,166,3556,252,178,16,3334,252,0,16,0,222,6288,3896,283,1854,239,60,20,0,0,4917,3243,185,1290,167,36,8,0,0,5322,2367,414,2201,154,13,0,11,162,6720,2733,568,3146,227,112,8,5322,2367,414,2302,182,92,8
47157008237,9,47157008237,1661,1078,529,2053,1376,632,2003,1327,619,1418,900,459,1416,970,414,1693,1020,598,5244,1836,162,3046,185,1,0,2996,185,1,20,0,8041,2253,803,4785,187,79,0,0,0,4803,1544,333,2645,273,10,0,2595,273,0,0,0,0,8065,2102,1224,4185,568,55,0,4078,568,0,0,37,58,6957,2923,814,2925,306,44,7,0,0,5219,2429,525,2037,226,35,5,0,0,5168,1694,699,2354,228,11,2,12,168,6863,1979,1144,3327,333,161,15,5168,1694,699,2438,241,131,12
47157008110,9,47157008110,1896,1719,119,2251,2041,172,2171,1876,172,1693,1485,114,1706,1585,88,2012,1857,102,5802,997,96,4637,49,19,0,4610,45,4,0,0,7724,1156,363,6002,206,60,12,0,0,5626,1106,146,4288,77,6,0,4263,62,4,0,1,0,7379,1239,306,5621,207,7,16,5553,193,5,10,0,75,7711,680,589,6271,171,49,15,0,0,5807,610,417,4638,129,46,13,0,0,6164,964,263,4491,254,11,0,14,167,7654,1071,383,5845,335,105,5,6164,964,263,4627,284,82,2
47157008231,9,47157008231,2648,2029,550,3101,2430,608,3019,2301,611,2328,1730,511,2328,1829,452,2800,2126,610,5112,1507,100,3210,45,206,0,3168,30,188,43,0,6682,1733,122,4522,113,356,0,0,0,5673,1233,195,3906,25,287,0,3865,15,283,0,30,0,7892,1394,782,5354,98,426,0,5195,31,308,0,22,157,7500,2404,337,4634,124,41,9,0,0,5606,2151,206,3149,86,28,5,0,0,5955,1437,328,3960,74,9,1,27,119,7802,1601,542,5480,121,86,5,5955,1437,328,4034,96,61,5
47157008250,8,47157008250,2476,2252,169,2955,2692,219,2881,2573,227,2131,1890,147,2135,1954,144,2695,2477,167,6203,316,215,5643,10,0,16,5528,10,0,0,0,10310,342,1345,8609,24,0,17,0,0,7268,596,248,6398,35,0,0,6328,35,0,0,0,0,11527,638,1129,9711,49,0,0,9645,49,0,0,0,66,11153,677,1340,9072,76,56,7,0,0,7389,603,842,5878,57,31,7,0,0,7612,388,874,6164,46,19,1,22,98,11095,431,1403,9196,81,157,5,7612,388,874,6289,72,114,4
47157008070,8,47157008070,2607,593,1961,3017,765,2195,2942,673,2224,2337,497,1797,2336,603,1705,2733,511,2075,4107,3534,82,395,64,26,0,386,60,26,0,0,5838,4619,280,737,139,76,0,0,0,3537,3261,78,92,85,27,0,86,75,27,0,0,0,5149,4420,280,192,174,100,0,147,148,81,0,0,72,5362,4784,130,263,174,14,1,0,0,3990,3612,84,182,102,9,0,0,0,3969,3365,137,192,122,8,1,12,132,5327,4401,228,317,232,114,4,3969,3365,137,213,152,83,1
47157008168,8,47157008168,2128,1950,118,2477,2265,167,2388,2139,165,1883,1664,106,1876,1747,95,2365,2225,111,5422,311,48,5041,0,0,0,5041,0,0,25,0,8089,395,448,7320,49,49,0,0,0,5488,284,57,5106,0,0,0,5106,0,0,0,30,0,7876,374,434,7068,59,59,0,7009,0,0,0,0,59,8097,969,509,6596,19,41,11,0,0,5697,815,307,4560,14,25,6,0,0,5702,555,511,4524,22,0,3,18,69,7889,640,838,6363,36,59,6,5702,555,511,4600,29,37,4
47157008131,9,47157008131,1333,1251,47,1481,1389,61,1426,1297,60,1149,1035,47,1167,1120,24,1667,1610,35,3399,47,4,3336,0,17,0,3329,0,0,0,0,5054,47,108,4963,0,17,0,0,0,3554,42,0,3504,0,12,0,3491,0,4,0,0,0,5287,43,70,5243,0,7,0,5152,0,1,0,0,21,5675,16,64,5616,6,40,2,0,0,4123,12,44,4076,4,26,0,0,0,3214,27,47,3053,0,12,0,8,67,4380,53,84,4208,12,49,4,3214,27,47,3117,5,37,2
47157008233,9,47157008233,1840,1439,345,2291,1836,409,2213,1736,408,1538,1160,305,1546,1253,269,1961,1514,367,6305,1738,109,4383,64,4,0,4383,64,0,0,0,8711,1969,196,6330,132,10,0,0,0,5841,1298,119,4355,39,19,0,4355,39,0,0,0,0,8056,1538,182,6108,121,22,0,6100,121,0,0,93,22,8026,2010,567,5266,179,62,20,0,0,5743,1698,357,3548,130,42,15,0,0,5981,1370,384,3944,83,3,0,21,176,8138,1622,590,5692,196,94,3,5981,1370,384,4058,137,64,2
47157008182,9,47157008182,718,558,143,903,706,186,866,652,175,581,432,124,584,447,127,831,665,149,2429,850,5,1441,14,120,0,1429,4,10,4,0,3636,894,294,2294,107,118,0,0,0,2561,769,5,1689,20,60,0,1680,10,10,0,5,0,4256,823,337,2997,168,60,0,2686,26,10,0,0,372,4878,1332,168,3373,26,29,2,0,0,3409,1132,102,2161,14,23,1,0,0,3115,716,179,2108,5,3,0,5,99,4361,835,278,3196,16,62,1,3115,716,179,2193,13,53,1
