GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_LtG,Dem_2018_LtG,Rep_2018_LtG,Total_2017_SenSp,Dem_2017_SenSp,Rep_2017_SenSp,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
01069000251,7,01069000251,625,373,248,767,451,307,759,460,296,545,306,237,544,323,220,545,314,230,441,304,134,746,408,313,737,405,328,1738,806,33,835,36,21,0,825,32,11,4,0,2387,1002,55,1271,51,35,0,0,0,1837,930,29,820,33,37,0,803,28,7,0,4,0,2505,1158,51,1217,50,46,0,1173,22,11,0,0,87,2114,880,37,1176,15,16,1,0,0,1652,727,30,880,10,13,1,0,0,2068,914,50,1005,43,1,0,8,47,2628,1055,71,1434,53,24,2,2068,914,50,1044,46,21,2
01069000323,7,01069000323,2005,761,1223,2475,921,1515,2469,996,1467,1770,624,1141,1766,692,1070,1760,634,1124,1285,605,660,2278,729,1473,2240,759,1475,4128,2539,88,1382,56,57,0,1350,53,38,8,0,5839,3148,432,2069,108,92,31,0,0,4265,2647,100,1448,53,15,0,1420,50,0,0,4,0,5935,3168,355,2275,93,33,11,2139,81,0,0,17,173,5425,3305,229,1763,116,39,10,0,0,4015,2610,153,1145,84,33,7,0,0,4550,2541,286,1417,92,5,0,7,202,5937,3074,421,2143,189,159,22,4550,2541,286,1503,139,117,18
01069000271,7,01069000271,292,120,171,368,148,220,367,164,203,246,104,141,248,106,141,248,97,151,191,97,94,340,128,209,324,124,200,558,380,9,168,0,4,0,168,0,4,0,0,703,459,9,231,0,4,0,0,0,472,345,9,119,0,0,0,119,0,0,0,0,0,599,433,8,156,0,4,0,156,0,0,0,0,4,878,566,13,291,1,8,0,0,0,694,455,10,225,1,5,0,0,0,630,404,10,190,0,2,2,0,22,762,486,15,242,4,20,3,630,404,10,205,1,18,2
01069000121,7,01069000121,698,130,562,876,155,709,877,193,683,606,110,494,604,128,475,606,114,491,440,100,335,806,129,660,780,141,638,1189,1006,2,147,4,35,0,147,0,0,0,0,1479,1211,4,203,8,40,0,0,0,1101,936,6,157,4,4,0,157,0,0,0,0,0,1488,1240,10,209,7,12,0,209,0,0,0,11,19,1836,1442,27,348,4,19,5,0,0,1427,1144,16,251,2,15,4,0,0,1397,1132,12,213,0,5,2,5,28,1745,1377,31,287,14,32,4,1397,1132,12,221,6,25,4
01069000233,7,01069000233,1077,415,657,1475,560,898,1463,601,861,938,304,632,936,332,602,938,313,623,635,309,324,1071,403,643,1040,396,641,2467,1547,49,798,50,33,0,788,42,27,0,0,3266,1866,75,1243,54,65,0,0,0,2495,1612,29,783,45,34,0,773,39,34,0,0,0,3414,1920,63,1364,44,68,0,1234,17,39,0,0,147,2991,1521,113,1332,14,32,1,0,0,2139,1178,66,877,13,24,1,0,0,2295,1379,88,762,12,6,0,1,47,3056,1681,134,1183,25,38,1,2295,1379,88,783,21,21,1
01063000105,4,01063000105,412,290,122,432,297,135,435,305,130,392,274,118,391,281,110,391,269,122,356,263,90,474,318,152,464,306,158,650,296,5,349,2,0,0,349,0,0,1,0,816,358,8,439,14,4,0,0,0,565,292,12,257,2,0,0,257,0,0,0,1,0,677,329,20,325,11,5,0,320,0,0,0,0,12,764,150,14,595,4,1,0,0,0,603,134,9,455,4,1,0,0,0,596,106,10,468,2,0,0,2,8,776,122,10,640,3,2,0,596,106,10,476,3,1,0
01077000115,2,01077000115,1943,638,1283,2343,683,1631,2321,759,1561,1779,607,1171,1767,633,1133,1761,571,1190,1362,599,740,2087,566,1420,2041,636,1404,3290,2864,22,285,24,97,0,285,24,0,0,0,4216,3590,133,397,30,99,0,0,0,3228,2979,39,80,34,103,0,80,34,3,0,0,0,4213,3773,196,109,42,101,0,102,34,2,0,0,107,4146,3672,72,346,34,36,6,0,0,3284,2943,45,249,27,28,4,0,0,2977,2551,61,230,28,9,0,7,91,3744,3139,112,341,40,99,7,2977,2551,61,251,34,78,3
01077000004,2,01077000004,1239,246,986,1620,239,1363,1616,329,1285,1041,243,795,1032,273,759,1035,227,808,753,218,528,1400,205,1151,1382,311,1068,2685,2507,0,115,0,55,0,115,0,7,0,0,3353,3164,0,127,10,58,0,0,0,2799,2645,0,101,0,54,0,101,0,0,0,0,0,3472,3295,0,121,5,50,0,114,0,0,0,0,61,3190,3053,37,69,7,28,0,0,0,2528,2419,29,57,6,21,0,0,0,2523,2332,41,48,14,12,0,3,73,3109,2863,58,74,25,85,1,2523,2332,41,55,22,68,0
01077000005,2,01077000005,2576,524,2033,3383,502,2841,3364,684,2671,2222,514,1707,2193,580,1613,2187,465,1721,1488,460,1010,2963,497,2390,2902,703,2197,5083,4965,54,41,4,20,0,41,0,2,0,0,6506,6328,77,51,22,25,0,0,0,5242,5169,28,20,8,15,0,20,0,2,0,0,0,6499,6350,49,25,54,17,0,25,16,4,0,0,52,7052,6859,79,58,16,39,2,0,0,5361,5243,48,25,8,37,1,0,0,5542,5220,96,36,7,10,1,11,161,7060,6591,131,91,37,156,2,5542,5220,96,51,14,120,2
01077000103,2,01077000103,740,496,234,876,543,310,862,563,298,651,454,197,652,466,186,649,456,192,571,465,103,847,505,298,824,527,296,2071,1374,53,594,6,28,0,592,6,25,20,0,2579,1625,162,745,14,46,0,0,0,2040,1409,65,527,13,26,0,458,13,23,0,0,0,2583,1737,95,666,23,114,0,527,21,111,0,10,80,2417,1487,52,848,18,29,0,0,0,1909,1231,24,623,15,24,0,0,0,1915,1159,72,559,18,6,1,3,97,2410,1386,114,807,30,81,1,1915,1159,72,601,26,65,1
