GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2014_Gov,Dem_2014_Gov,Rep_2014_Gov,Total_2014_Sen,Dem_2014_Sen,Rep_2014_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
25003000777,1,25003000777,360,176,176,405,217,187,418,209,203,318,157,146,316,168,148,309,116,193,397,191,170,229,142,84,230,137,93,635,610,15,0,0,10,0,0,0,0,0,0,808,770,14,20,6,10,0,0,0,610,585,15,0,0,10,0,0,0,0,0,0,0,742,707,15,16,6,10,0,0,0,0,0,0,20,752,726,5,10,6,10,0,0,0,587,565,4,6,6,8,0,0,0,579,536,8,4,2,0,0,1,28,694,635,11,6,3,21,1,579,536,8,5,2,17,1
25011000851,1,25011000851,1131,732,371,1226,857,359,1254,896,327,1042,711,299,1030,774,256,1041,385,656,1190,741,341,741,433,301,776,538,238,1744,1651,33,28,29,0,0,24,29,0,0,0,2196,2070,45,40,52,0,0,0,0,1627,1553,33,44,0,0,0,15,0,0,0,0,0,2206,2095,51,62,10,0,0,25,10,0,0,0,28,1948,1855,36,18,31,6,5,0,0,1599,1543,23,9,17,6,3,0,0,1609,1488,29,12,23,1,0,10,46,1939,1761,44,34,48,30,0,1609,1488,29,21,27,28,0
25011001265,1,25011001265,52,23,28,59,23,35,60,28,31,46,22,19,47,27,20,47,15,32,59,25,26,31,11,20,32,16,16,85,83,0,0,0,0,0,0,0,0,0,0,105,100,0,2,0,2,0,0,0,89,85,0,0,0,1,0,0,0,0,0,0,0,110,103,0,2,1,2,0,0,0,0,0,1,5,121,115,3,3,3,0,0,0,0,98,95,1,1,2,0,0,0,0,87,83,1,2,0,0,0,0,1,118,105,2,4,2,2,0,87,83,1,2,0,1,0
25003000028,1,25003000028,285,224,55,330,265,56,325,271,50,258,217,37,257,216,41,256,158,98,299,226,52,204,148,55,201,155,46,360,345,4,0,4,0,0,0,4,0,0,0,431,392,22,0,17,0,0,0,0,355,345,10,0,4,0,0,0,4,0,0,0,0,411,382,25,0,4,0,0,0,2,0,0,0,2,494,481,2,7,4,1,0,0,0,422,414,1,3,4,1,0,0,0,411,385,13,2,1,0,0,2,8,486,447,21,4,4,2,0,411,385,13,2,1,2,0
25025001207,8,25025001207,1153,1044,98,1349,1258,84,1413,1293,96,883,844,26,851,818,33,874,567,306,1558,1483,42,832,785,43,731,708,23,3218,470,873,1843,15,15,0,1843,15,15,0,0,5435,482,1649,3425,21,321,0,0,0,2846,528,901,1378,15,25,0,1378,15,15,0,0,0,4761,660,1727,2617,14,246,0,2195,14,16,0,0,149,4293,189,1361,2969,39,67,21,0,0,3062,186,913,2099,26,50,10,0,0,3161,154,1162,1670,26,7,1,20,121,4337,163,1695,2891,56,100,9,3161,154,1162,2123,41,74,7
25025000301,9,25025000301,2026,1308,673,2361,1684,663,2424,1784,587,1894,1241,577,1878,1438,437,1902,557,1340,1745,1165,434,1498,666,822,1451,954,497,3763,3346,148,171,89,4,0,161,83,0,12,0,4222,3639,203,245,150,1,24,0,0,3510,3141,129,77,161,5,0,73,158,0,0,3,0,4041,3566,173,127,209,2,7,69,190,0,0,16,28,4256,3727,174,169,176,26,5,0,0,3998,3522,156,152,157,21,2,0,0,3713,3194,172,64,158,2,2,23,98,4026,3433,210,103,210,36,6,3713,3194,172,94,191,34,5
25025001208,8,25025001208,438,402,33,525,505,20,538,503,32,378,363,8,354,343,11,366,236,126,485,457,16,236,219,15,212,208,4,798,85,148,570,0,4,0,525,0,0,0,0,1358,86,368,1073,0,1,0,0,0,961,109,154,701,0,4,0,701,0,0,0,0,0,1258,106,295,1009,0,3,0,855,0,0,0,0,3,1277,39,367,918,7,24,2,0,0,950,33,244,700,5,18,1,0,0,1194,58,421,602,11,4,0,28,70,1602,75,599,1082,22,46,0,1194,58,421,819,13,36,0
25025001606,8,25025001606,1113,845,250,1316,1038,274,1347,1021,297,939,744,174,919,769,150,931,504,427,1223,995,167,712,532,175,663,561,102,2695,1096,287,1045,274,0,0,1045,268,0,0,0,3576,1299,367,1517,423,53,0,0,0,2534,1124,212,848,351,0,0,827,335,0,0,0,0,3414,1343,328,1396,563,0,0,1057,547,0,0,0,135,2916,574,347,1254,781,25,9,0,0,2277,502,260,948,593,21,7,0,0,2571,657,270,708,781,3,0,28,124,3150,746,347,1102,1036,21,6,2571,657,270,892,807,19,6
25025000604,9,25025000604,1281,815,430,1483,1027,444,1515,1078,399,1117,702,367,1111,850,258,1117,345,766,1360,880,358,697,280,415,661,430,231,2064,1805,68,19,166,0,0,19,155,0,2,0,2284,1888,70,28,306,1,0,0,0,2008,1658,69,15,266,0,0,7,250,0,0,0,0,2257,1755,98,28,390,0,0,7,373,0,0,0,25,1994,1797,53,34,101,9,1,0,0,1801,1646,40,23,83,8,1,0,0,2164,1883,70,12,128,3,1,15,52,2371,2024,94,37,182,11,3,2164,1883,70,26,154,9,2
25025001102,8,25025001102,912,829,72,1063,1009,52,1088,1021,59,762,726,19,742,714,26,748,505,243,1066,1000,25,562,508,53,524,501,23,1764,340,260,1073,73,39,0,1004,66,3,14,0,2462,356,590,1545,94,49,6,0,0,1603,383,401,780,12,34,0,717,9,3,0,14,0,2364,403,903,1191,32,48,5,926,14,3,0,15,99,2172,125,652,1492,26,64,8,0,0,1651,113,442,1160,23,50,3,0,0,1959,326,566,859,74,8,0,10,116,2476,389,776,1425,100,59,5,1959,326,566,1120,83,47,4
