GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2020_Sen,Dem_2020_Sen,Rep_2020_Sen,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP
3112100015P,3,3112100015P,691,127,541,823,152,648,768,92,639,641,124,494,644,132,512,529,0,529,605,103,471,979,917,31,25,0,6,0,25,0,0,0,0,1333,1190,93,30,0,13,0,0,0,1041,916,32,34,59,8,0,34,59,0,0,0,0,1415,1240,53,52,57,8,0,52,57,0,0,0,8,1402,1345,38,10,1,8,2,0,0,1086,1058,16,4,1,6,1,0,0,1076,988,29,10,5,4,0,0,40,1413,1264,54,23,22,38,5,1076,988,29,12,8,29,1
3114300004P,3,3114300004P,324,61,253,356,66,280,347,57,273,300,67,219,298,59,239,246,0,246,348,62,267,431,412,17,4,0,0,0,4,0,0,0,0,626,551,71,2,0,0,0,0,0,442,430,8,4,0,4,0,4,0,0,0,0,0,652,579,69,1,0,2,0,1,0,0,0,0,2,604,583,12,1,2,7,3,0,0,477,465,5,1,2,7,1,0,0,486,439,20,0,0,0,0,0,27,631,575,23,10,0,6,0,486,439,20,9,0,5,0
3114300005P,3,3114300005P,421,82,328,445,82,352,427,47,365,395,86,294,393,85,308,337,0,337,439,64,359,568,559,6,0,0,4,0,0,0,2,0,0,748,723,24,3,0,2,0,0,0,535,528,5,0,0,2,0,0,0,0,0,0,0,723,696,24,3,0,4,0,0,0,0,0,0,5,750,723,8,1,12,9,0,0,0,556,540,6,1,5,4,0,0,0,544,524,5,0,0,1,0,1,13,709,669,8,4,0,18,0,544,524,5,1,0,8,0
31021000008,3,31021000008,312,74,228,330,81,239,312,38,248,283,58,215,289,78,211,222,0,222,334,69,235,587,546,9,9,0,24,0,4,0,24,0,0,777,699,25,24,3,42,0,0,0,604,543,5,15,0,37,2,9,0,37,2,0,0,786,676,22,36,3,60,5,9,0,44,5,0,31,686,661,6,5,7,9,2,0,0,501,488,3,3,3,7,1,0,0,509,463,11,5,4,8,1,2,15,667,598,19,15,5,31,1,509,463,11,8,4,22,1
31021000001,3,31021000001,170,46,121,234,64,168,225,48,167,148,40,104,151,45,106,112,0,112,197,58,123,257,251,3,0,0,1,0,0,0,1,0,0,350,337,5,3,1,3,0,0,0,248,248,3,0,0,0,0,0,0,0,0,0,0,345,337,4,0,1,0,0,0,1,0,0,0,0,383,377,6,1,0,0,0,0,0,307,305,2,1,0,0,0,0,0,283,279,0,0,1,0,0,0,3,361,349,1,1,1,2,0,283,279,0,0,1,2,0
31055003-10,1,31055003-10,603,367,214,725,496,215,579,254,272,577,360,194,575,367,208,330,0,330,646,382,209,1727,1493,65,61,67,24,0,44,67,13,6,0,2263,1715,74,119,244,29,6,0,0,1915,1658,45,98,68,29,0,68,68,13,0,6,0,2415,1834,51,197,245,29,6,120,238,10,0,54,107,2279,1903,84,82,189,30,5,0,0,1970,1662,59,68,159,21,4,0,0,1980,1424,119,98,245,3,1,5,85,2198,1554,138,138,321,40,12,1980,1424,119,117,284,29,12
31055002-07,2,31055002-07,635,532,97,735,623,101,617,466,115,605,496,97,602,514,88,225,0,225,678,580,90,921,196,32,694,0,0,0,692,0,0,0,0,1568,289,97,917,265,0,0,0,0,1097,273,63,754,7,0,0,748,7,0,0,0,0,2170,303,146,1079,634,0,12,1019,629,0,7,0,66,1521,374,70,1074,9,22,3,0,0,1125,310,34,780,5,12,1,0,0,1198,241,46,768,80,4,1,5,53,1622,313,84,1054,167,47,6,1198,241,46,807,89,32,4
31055006-04,2,31055006-04,1123,516,582,1264,689,559,1065,317,686,1094,507,555,1086,537,549,730,0,730,1151,520,583,1357,1283,41,31,2,0,0,31,2,0,0,0,1958,1803,75,77,3,0,0,0,0,1420,1333,59,24,1,0,0,24,1,0,0,0,0,2184,2010,121,51,2,0,0,51,2,0,0,0,0,1861,1783,25,12,32,2,4,0,0,1377,1323,21,7,21,2,2,0,0,1388,1277,35,16,15,2,0,7,36,1890,1715,74,35,35,28,0,1388,1277,35,20,25,16,0
31055001-09,2,31055001-09,793,483,277,974,628,323,853,416,355,713,455,225,710,480,230,412,0,412,801,443,296,1591,1212,59,272,33,15,0,267,33,8,0,0,2177,1510,134,425,95,16,0,0,0,1587,1113,46,356,51,24,0,342,51,13,0,0,0,2004,1318,124,411,136,23,0,376,131,11,0,0,45,2419,1776,157,407,49,48,13,0,0,1792,1401,85,249,30,27,7,0,0,1785,1223,143,223,82,12,0,15,87,2373,1452,224,477,136,74,6,1785,1223,143,263,96,49,1
31055004-11,1,31055004-11,925,468,434,1098,599,476,1005,412,523,813,414,374,810,421,389,577,0,577,1014,509,443,1810,1240,285,230,20,25,0,55,20,0,0,0,3702,1606,1699,358,19,180,0,0,0,1985,1480,315,150,15,25,0,35,15,0,0,0,0,3825,1891,1657,238,13,153,0,33,13,0,0,0,231,3244,1999,1099,84,36,52,2,0,0,2348,1641,614,43,27,37,1,0,0,2370,1182,1051,50,25,6,1,4,51,3298,1376,1705,117,50,171,4,2370,1182,1051,64,36,94,4
3112100010P,3,3112100010P,184,14,164,207,15,186,195,9,177,175,18,149,174,14,160,146,0,146,215,21,187,264,258,0,0,2,2,0,0,0,0,0,0,336,332,2,0,5,2,0,0,0,241,240,0,0,2,0,0,0,0,0,0,0,0,298,293,2,0,5,0,0,0,0,0,0,0,1,348,321,4,5,13,5,1,0,0,246,233,1,1,8,3,0,0,0,274,256,12,0,0,1,0,0,5,354,318,21,2,0,10,0,274,256,12,1,0,2,0
3105300011P,2,3105300011P,278,88,181,341,112,220,323,72,228,236,72,152,240,91,149,197,0,197,297,86,193,775,709,35,22,6,5,0,1,6,0,0,0,992,821,78,25,60,5,0,0,0,819,763,23,0,19,10,0,0,19,0,0,0,0,1043,865,129,1,37,10,0,1,37,0,0,0,10,984,824,128,9,19,11,1,0,0,772,675,75,8,10,6,1,0,0,622,507,93,2,8,2,0,1,9,771,602,139,9,10,9,0,622,507,93,3,9,6,0
3105300013P,2,3105300013P,631,225,386,773,295,450,740,183,504,531,189,324,533,228,305,402,0,402,684,228,417,1295,1114,157,7,2,11,4,0,2,10,0,0,1924,1450,437,18,4,57,5,0,0,1141,1011,112,0,5,7,4,0,5,4,4,0,0,1749,1259,440,29,11,69,5,0,11,7,5,0,32,1565,1409,112,13,24,7,5,0,0,1255,1150,74,6,18,5,3,0,0,1294,1103,135,11,16,2,2,1,24,1687,1351,253,31,19,34,4,1294,1103,135,18,18,16,3
3105100008P,3,3105100008P,183,54,123,231,57,167,204,42,146,153,46,101,158,54,104,121,0,121,193,54,124,356,343,6,4,10,6,0,4,10,5,0,0,490,425,52,14,9,9,0,0,0,398,371,15,4,9,10,0,4,9,5,0,0,0,522,462,31,18,10,17,0,3,10,16,0,0,10,523,490,30,0,0,3,4,0,0,388,372,13,0,0,3,2,0,0,378,335,27,0,4,4,0,0,8,496,420,54,13,13,10,8,378,335,27,9,13,6,7
3104100024P,3,3104100024P,122,17,105,0,0,0,0,0,0,173,24,139,173,23,150,148,0,148,207,18,186,283,272,6,2,5,4,0,2,4,3,1,0,376,358,13,7,4,4,0,0,0,266,257,6,2,5,4,0,2,4,2,0,1,0,367,343,12,4,7,6,0,2,6,3,0,0,6,366,342,24,0,0,0,0,0,0,290,272,17,0,0,0,0,0,0,286,274,0,0,0,0,0,2,10,350,333,4,5,0,3,0,286,274,0,4,0,3,0
3112100003P,3,3112100003P,77,7,69,94,10,83,95,4,89,72,12,57,72,7,65,58,0,58,93,13,76,141,136,0,0,4,0,0,0,4,0,0,0,184,171,7,0,7,0,0,0,0,138,135,0,0,4,0,0,0,4,0,0,0,0,173,165,4,0,5,0,0,0,5,0,0,0,0,170,170,0,0,0,0,0,0,0,125,125,0,0,0,0,0,0,0,134,128,1,0,0,0,0,0,5,182,170,1,3,0,6,0,134,128,1,0,0,3,0
3105300020P,2,3105300020P,534,196,319,641,233,388,612,159,405,449,172,258,447,196,251,347,0,347,586,213,333,1201,1115,13,52,4,5,5,51,4,0,0,0,1545,1424,45,59,3,10,4,0,0,1307,1119,100,69,0,6,12,69,0,0,12,1,0,1695,1471,132,69,1,11,11,66,0,0,10,0,14,1618,1432,139,23,11,12,11,0,0,1249,1125,88,17,9,10,8,0,0,1232,1054,117,14,7,7,1,1,31,1597,1297,215,40,25,34,2,1232,1054,117,20,17,27,1
3109500008P,3,3109500008P,187,30,155,218,39,177,206,29,167,179,32,139,179,30,149,149,0,149,211,34,168,299,295,3,1,1,0,0,1,1,0,0,0,369,352,13,1,1,2,0,0,0,302,299,1,1,1,0,0,1,1,0,0,0,0,378,361,11,1,1,1,1,1,1,0,0,0,3,372,367,1,2,0,0,0,0,0,292,290,1,0,0,0,0,0,0,311,299,8,1,0,0,0,0,3,390,372,9,5,0,4,0,311,299,8,3,0,3,0
3105100012P,3,3105100012P,130,37,90,149,50,94,140,38,98,127,34,90,126,36,90,104,0,104,136,37,90,241,180,49,7,0,3,0,7,0,1,0,0,460,225,225,6,0,2,0,0,0,205,157,45,0,0,3,0,0,0,1,0,0,0,404,201,205,0,0,1,0,0,0,0,0,0,1,450,270,172,0,2,3,2,0,0,321,208,107,0,2,3,1,0,0,285,158,124,0,1,1,0,0,1,431,199,227,0,2,3,0,285,158,124,0,2,2,0
3103900001P,3,3103900001P,715,150,554,807,164,632,774,102,626,662,145,487,662,157,505,557,0,557,782,146,599,1217,1178,18,8,0,4,10,4,0,0,0,0,1634,1540,62,14,1,14,9,0,0,1329,1292,18,8,0,4,10,4,0,0,10,0,0,1745,1668,56,4,0,7,10,2,0,0,10,0,7,1633,1572,37,12,4,10,0,0,0,1255,1223,21,4,3,5,0,0,0,1264,1164,66,2,0,0,2,2,28,1653,1478,111,17,10,36,6,1264,1164,66,7,8,19,5
3109900008P,3,3109900008P,231,28,201,286,28,253,275,15,238,194,29,157,193,33,160,185,0,185,243,15,224,286,281,2,0,0,0,0,0,0,0,0,0,391,374,6,0,0,12,0,0,0,277,271,1,0,0,0,0,0,0,0,0,0,0,367,355,1,0,0,8,0,0,0,7,0,0,0,396,386,4,5,0,2,1,0,0,300,294,4,1,0,2,1,0,0,339,323,9,0,0,0,0,1,6,461,439,13,1,0,4,0,339,323,9,0,0,3,0
31055003-25,1,31055003-25,955,482,439,1140,634,476,978,371,526,879,457,391,879,485,394,601,0,601,952,445,450,1229,1085,76,48,18,0,0,48,18,0,0,0,1532,1274,153,77,28,0,0,0,0,1235,1097,63,65,6,0,0,55,6,0,0,0,0,1562,1278,166,81,37,0,0,73,8,0,0,0,37,1812,1613,58,80,51,16,5,0,0,1510,1390,34,43,36,11,3,0,0,1526,1272,86,69,30,1,3,5,60,1905,1497,149,151,57,36,5,1526,1272,86,87,34,32,4
3104100008P,3,3104100008P,156,29,126,0,0,0,0,0,0,222,37,173,224,35,189,192,0,192,259,39,203,385,381,4,0,0,0,0,0,0,0,0,0,498,470,28,0,0,0,0,0,0,420,420,4,0,4,0,0,0,4,0,0,0,0,499,497,3,0,1,0,0,0,1,0,0,0,0,525,512,8,3,1,1,0,0,0,405,397,5,2,0,1,0,0,0,397,380,10,0,1,0,0,0,6,500,469,15,5,1,4,0,397,380,10,1,1,0,0
3104100010P,3,3104100010P,416,44,366,468,44,420,443,40,379,373,46,321,371,54,317,328,0,328,479,40,422,716,705,14,0,0,1,0,0,0,0,0,0,936,919,17,1,0,1,0,0,0,719,696,23,0,0,5,0,0,0,0,0,0,0,964,929,36,1,0,2,0,0,0,0,0,0,2,759,739,14,1,0,5,0,0,0,608,596,8,0,0,4,0,0,0,573,540,23,0,2,0,0,0,8,738,692,29,5,3,6,0,573,540,23,3,3,3,0
31153000022,2,31153000022,1297,551,681,1634,784,782,1507,510,894,1081,479,539,1084,512,572,802,0,802,1382,536,716,3009,2217,298,314,120,46,10,278,90,2,37,0,4365,2929,550,578,298,103,90,0,0,3202,2477,372,212,70,45,10,197,55,0,10,28,0,4617,3195,727,453,225,86,93,350,123,0,10,2,211,4350,3331,345,478,177,74,28,0,0,3070,2425,208,295,121,43,16,0,0,3281,2304,392,293,82,16,4,16,174,4505,2993,629,545,193,134,24,3281,2304,392,349,123,81,10
31153000006,2,31153000006,1189,520,617,1428,712,664,1294,445,739,1040,448,548,1040,489,551,765,0,765,1305,529,658,2268,1793,175,133,128,0,10,129,83,0,30,0,3326,2390,392,324,326,43,28,0,0,2276,1650,255,113,231,0,10,108,161,0,10,25,0,3346,2253,507,342,394,41,10,130,228,0,10,0,217,3313,2444,303,385,160,36,19,0,0,2520,1924,183,263,137,24,10,0,0,2896,1815,418,258,224,16,13,16,136,3729,2263,572,472,309,117,29,2896,1815,418,312,269,79,17
31153000036,2,31153000036,1365,430,906,1537,591,922,1388,279,1034,1279,386,860,1280,430,850,1010,0,1010,1439,463,912,2036,1758,80,49,132,22,2,49,126,7,0,0,2593,2224,86,115,174,21,2,0,0,1960,1728,40,25,145,25,0,25,145,15,0,0,0,2422,2153,41,36,168,26,0,36,168,16,0,0,10,2441,2256,76,38,61,12,5,0,0,1789,1671,45,22,43,9,2,0,0,1838,1631,74,33,39,0,0,8,53,2324,2003,126,73,96,26,7,1838,1631,74,44,62,23,5
3116700012P,3,3116700012P,73,13,59,85,13,71,80,12,64,69,11,55,70,20,50,49,0,49,78,16,60,94,90,1,1,1,0,0,1,1,0,0,0,123,120,2,3,1,0,0,0,0,88,87,1,1,1,1,0,1,1,0,0,0,0,119,115,2,2,1,0,0,2,1,0,0,0,0,128,126,0,0,0,2,0,0,0,99,97,0,0,0,2,0,0,0,100,97,0,0,1,0,0,1,1,116,109,2,1,1,1,1,100,97,0,0,1,1,0
3100100003W,3,3100100003W,372,132,230,448,187,251,425,122,288,312,126,175,311,113,198,245,0,245,443,159,266,1248,1136,65,15,2,38,0,15,1,34,0,0,1822,1270,499,15,2,38,0,0,0,1298,1171,56,3,41,22,0,3,41,19,0,0,0,1820,1328,395,3,72,22,0,3,71,18,0,0,6,1649,1242,350,16,15,29,1,0,0,1372,1141,195,10,11,16,1,0,0,1194,873,269,10,15,0,0,0,27,1452,953,427,27,24,20,2,1194,873,269,14,20,13,1
3114500010P,3,3114500010P,404,77,316,472,86,375,446,61,349,350,74,266,349,81,268,301,0,301,479,67,380,693,634,18,21,0,17,0,21,0,0,0,0,924,807,33,24,0,58,0,0,0,678,628,18,21,0,4,0,20,0,0,0,0,0,885,758,78,26,0,22,0,26,0,0,0,2,22,1105,1007,69,7,14,12,0,0,0,841,789,32,4,7,10,0,0,0,753,655,67,3,4,6,1,0,17,1012,845,124,6,5,30,1,753,655,67,3,4,20,1
31021000002,3,31021000002,272,45,222,300,50,245,281,36,233,261,44,205,259,54,205,211,0,211,283,39,230,341,314,11,0,10,10,0,0,10,6,0,0,432,401,18,1,11,23,0,0,0,351,316,18,0,0,14,0,0,0,13,0,0,0,439,398,26,2,0,30,0,0,0,13,0,0,7,479,460,11,3,0,6,0,0,0,358,350,4,0,0,2,0,0,0,378,367,4,1,2,0,0,0,4,474,453,8,5,4,6,0,378,367,4,2,2,5,0
3100100001W,3,3100100001W,657,186,448,843,253,570,791,193,552,538,174,338,542,167,375,424,0,424,736,180,491,1699,1514,164,23,0,4,0,8,0,4,0,0,2689,1942,728,23,0,3,0,0,0,1548,1368,151,10,19,4,0,0,19,4,0,0,0,2467,1766,660,11,29,3,0,0,29,3,0,0,11,2586,1824,613,60,72,31,1,0,0,1806,1367,352,24,50,18,1,0,0,1890,1380,388,27,34,9,0,5,47,2435,1691,582,50,58,68,4,1890,1380,388,32,39,50,2
3100100015W,3,3100100015W,644,218,407,803,281,503,736,175,515,557,221,317,556,211,345,420,0,420,668,211,420,937,840,84,12,0,2,0,12,0,0,2,0,1243,1093,128,15,10,29,10,0,0,985,877,92,11,3,6,0,11,2,0,0,6,0,1334,1115,191,14,14,23,10,13,5,0,0,0,16,1328,1249,39,9,28,4,5,0,0,1023,978,23,3,17,2,1,0,0,1076,984,44,7,9,1,0,4,27,1346,1220,68,11,19,22,1,1076,984,44,10,16,13,1
3106500001P,3,3106500001P,107,15,91,127,19,107,118,12,101,99,15,81,102,15,87,91,0,91,110,15,91,174,164,3,0,0,3,0,0,0,0,0,0,208,199,4,1,0,2,0,0,0,173,165,3,0,1,3,0,0,0,0,0,0,0,214,199,6,1,1,3,0,1,0,0,0,0,3,229,229,0,0,0,0,0,0,0,172,172,0,0,0,0,0,0,0,193,186,3,0,0,0,0,0,4,233,224,3,2,0,1,0,193,186,3,0,0,1,0
3105300024P,2,3105300024P,300,124,165,372,152,209,358,124,211,243,106,123,245,120,125,179,0,179,360,135,199,1089,957,73,0,0,64,0,0,0,40,0,0,1928,1133,644,39,8,110,0,0,0,1191,1072,89,0,0,34,0,0,0,23,0,0,0,2034,1268,672,25,0,69,2,17,0,57,0,0,21,2050,1104,891,16,11,18,30,0,0,1346,828,487,8,10,13,14,0,0,1369,611,735,0,7,8,0,0,8,2138,760,1330,9,15,99,5,1369,611,735,2,9,59,4
3104100005P,3,3104100005P,220,27,190,539,94,430,509,59,420,79,11,66,78,11,67,58,0,58,82,10,69,96,95,0,0,0,0,0,0,0,0,0,0,122,120,2,0,0,0,0,0,0,95,94,0,0,0,0,0,0,0,0,0,0,0,111,105,5,0,0,0,0,0,0,0,0,0,0,146,134,2,5,3,2,0,0,0,117,110,2,2,1,2,0,0,0,95,88,5,0,0,0,0,0,2,127,120,5,0,0,2,0,95,88,5,0,0,2,0
31153000055,2,31153000055,2057,767,1223,2605,1127,1404,2371,609,1596,1750,693,1001,1751,722,1029,1327,0,1327,2149,765,1250,3131,2861,15,170,65,15,0,95,65,15,0,0,4953,4519,14,288,99,32,0,0,0,2901,2591,0,135,115,55,0,70,105,55,0,0,0,4371,3888,0,227,158,98,0,97,147,98,0,0,141,4198,3754,198,117,114,36,5,0,0,2952,2679,119,65,70,24,4,0,0,3513,2987,127,91,146,11,0,12,139,5151,4260,255,199,297,110,6,3513,2987,127,118,182,65,5
31153000056,2,31153000056,1329,506,776,1605,680,877,1432,381,960,1168,459,662,1169,501,668,850,0,850,1436,530,818,2020,1825,110,59,0,15,0,35,0,0,15,0,2752,2414,175,157,9,34,23,0,0,1975,1830,59,45,0,10,0,25,0,0,0,20,0,2575,2350,85,108,7,11,26,25,0,0,0,9,106,2896,2627,149,55,56,20,6,0,0,2097,1934,96,22,34,12,4,0,0,2097,1828,129,37,28,3,0,4,68,2756,2327,197,100,59,40,5,2097,1828,129,46,37,25,2
3106900004P,3,3106900004P,282,46,233,319,51,265,306,32,249,282,41,229,281,56,225,240,0,240,275,44,222,381,374,5,5,3,3,0,3,3,3,0,0,522,480,36,5,3,4,0,0,0,403,387,11,3,3,3,0,0,3,3,0,0,0,546,504,36,6,3,3,0,0,3,3,0,0,6,573,526,36,2,0,10,0,0,0,457,437,13,1,0,7,0,0,0,418,395,16,0,0,1,0,1,5,498,453,29,5,1,11,1,418,395,16,1,0,8,0
3105100009P,3,3105100009P,190,35,146,237,47,181,221,35,161,158,27,122,158,35,123,136,0,136,209,35,165,277,259,12,1,1,0,0,1,1,0,0,0,406,348,51,1,1,0,0,0,0,253,242,11,0,1,0,0,0,1,0,0,0,0,393,336,47,1,1,0,0,0,1,0,0,0,1,420,372,44,8,0,1,0,0,0,330,301,26,3,0,1,0,0,0,308,276,24,0,1,1,0,0,6,405,359,34,1,1,7,2,308,276,24,1,1,5,0
3105100010P,3,3105100010P,176,48,127,241,63,173,227,50,167,144,45,93,147,46,101,114,0,114,190,49,140,325,307,8,0,0,3,0,0,0,3,0,0,404,377,24,1,0,3,0,0,0,331,307,19,0,0,2,0,0,0,0,0,0,0,443,389,47,3,0,3,0,0,0,1,0,0,3,494,476,10,4,0,3,0,0,0,378,369,5,1,0,1,0,0,0,313,289,13,3,3,0,0,0,5,421,379,20,14,5,6,1,313,289,13,3,4,4,1
31019000004,3,31019000004,1304,339,935,1650,457,1172,1532,229,1219,1114,325,761,1110,346,764,918,0,918,1322,325,943,1374,1303,22,35,8,0,0,35,8,0,0,0,1978,1843,78,42,15,8,0,0,0,1369,1240,22,32,72,0,0,32,72,0,0,0,0,1928,1684,53,32,139,7,0,32,130,0,0,9,14,1973,1901,35,15,15,10,2,0,0,1412,1370,24,4,10,5,2,0,0,1983,1840,44,9,27,5,0,4,54,2785,2531,100,32,61,53,6,1983,1840,44,17,42,34,3
31079000007,3,31079000007,824,287,514,1024,374,620,957,241,656,714,279,414,713,283,430,543,0,543,915,312,542,2090,1510,470,74,10,13,12,70,10,9,0,0,3760,1909,1561,206,37,26,40,0,0,2018,1424,414,127,10,13,14,125,10,9,14,0,0,3734,1870,1571,218,39,31,63,210,22,12,16,0,26,3382,2187,982,131,46,68,7,0,0,2402,1719,554,79,31,32,5,0,0,2540,1531,778,100,29,18,2,5,77,3576,1954,1267,225,74,136,10,2540,1531,778,142,45,93,9
3104700015P,3,3104700015P,680,134,537,831,172,650,795,117,637,599,135,429,599,133,466,514,0,514,794,140,614,1282,1131,104,32,8,9,0,32,8,0,0,0,1701,1456,178,45,15,9,13,0,0,1277,1117,111,25,10,15,0,25,10,0,0,0,0,1666,1453,158,35,15,17,0,25,15,0,0,0,17,1683,1452,204,10,13,21,0,0,0,1307,1169,116,7,8,15,0,0,0,1308,1099,151,7,17,2,3,3,26,1757,1427,236,24,30,42,15,1308,1099,151,12,25,26,4
3104100012P,3,3104100012P,281,37,239,271,40,226,258,34,198,278,36,234,278,38,240,240,0,240,347,28,306,470,456,6,0,0,10,0,0,0,0,0,0,651,624,18,0,0,18,0,0,0,450,441,6,0,0,5,0,0,0,0,0,0,0,629,602,15,4,0,12,0,0,0,0,0,0,15,621,612,6,2,0,1,0,0,0,455,452,3,0,0,0,0,0,0,450,425,13,0,0,0,0,3,9,602,554,22,7,0,5,0,450,425,13,1,0,2,0
3104100026P,3,3104100026P,66,6,59,72,5,66,71,3,65,63,6,56,65,7,58,58,0,58,71,6,63,108,108,0,0,0,0,0,0,0,0,0,0,135,135,0,0,0,0,0,0,0,121,120,0,0,0,0,0,0,0,0,0,0,0,148,146,0,0,0,0,0,0,0,0,0,0,0,152,150,2,0,0,0,0,0,0,108,107,1,0,0,0,0,0,0,107,102,3,1,0,0,0,0,1,135,127,4,1,0,4,0,107,102,3,1,0,2,0
3102700005P,3,3102700005P,244,27,212,281,28,248,254,17,230,222,22,195,223,30,193,186,0,186,290,27,250,310,302,1,0,0,1,0,0,0,0,0,0,412,406,2,2,0,1,0,0,0,289,283,1,2,0,2,0,2,0,0,0,0,0,383,373,2,2,0,2,0,1,0,0,0,0,0,477,474,2,0,1,1,0,0,0,329,327,1,0,1,1,0,0,0,258,253,1,0,1,1,0,0,2,371,364,1,1,1,4,0,258,253,1,1,1,2,0
3102700003P,3,3102700003P,188,27,156,209,25,179,200,21,172,186,23,156,189,50,139,149,0,149,205,31,159,192,192,1,0,0,1,0,0,0,1,0,0,259,248,10,0,0,1,0,0,0,202,202,1,0,0,1,0,0,0,1,0,0,0,264,259,6,0,0,1,0,0,0,1,0,0,1,345,342,0,1,0,2,0,0,0,242,241,0,0,0,1,0,0,0,253,246,4,1,0,0,0,0,2,322,312,4,2,0,4,0,253,246,4,1,0,2,0
3102700009P,3,3102700009P,155,32,123,170,34,136,159,27,126,149,28,118,148,37,111,116,0,116,181,30,146,220,215,3,0,0,0,0,0,0,0,0,0,307,303,3,0,0,0,0,0,0,244,244,0,0,0,0,0,0,0,0,0,0,0,346,346,0,0,0,0,0,0,0,0,0,0,0,325,316,6,0,0,3,0,0,0,237,232,4,0,0,1,0,0,0,207,195,11,0,0,0,0,0,1,269,257,11,0,1,0,0,207,195,11,0,1,0,0
3102700018P,3,3102700018P,133,34,97,130,29,97,130,23,99,133,34,97,131,34,97,105,0,105,160,37,103,164,163,3,0,0,0,0,0,0,0,0,0,220,218,3,0,0,0,0,0,0,174,174,0,0,0,0,0,0,0,0,0,0,0,251,251,0,0,0,0,0,0,0,0,0,0,0,239,227,8,0,0,1,0,0,0,184,180,3,0,0,1,0,0,0,187,183,0,1,0,1,1,0,1,238,229,2,3,0,2,1,187,183,0,1,0,1,1
3116700013P,3,3116700013P,58,12,46,69,12,57,65,11,44,59,10,46,59,14,45,47,0,47,86,10,74,103,94,1,0,0,0,0,0,0,0,0,0,134,132,1,0,0,0,0,0,0,96,93,1,0,0,1,0,0,0,0,0,0,0,133,127,1,0,0,0,0,0,0,0,0,0,0,137,137,0,0,0,0,0,0,0,107,107,0,0,0,0,0,0,0,87,85,0,0,0,0,0,0,2,136,128,2,3,1,2,1,87,85,0,2,0,1,0
3110900120P,1,3110900120P,672,326,323,896,454,420,816,306,465,557,300,240,557,298,259,381,0,381,663,302,302,1256,1178,20,15,37,15,0,15,6,11,0,0,1649,1401,54,90,62,41,0,0,0,1421,1309,54,14,30,14,0,14,0,10,0,0,0,1822,1560,91,76,52,80,0,47,20,12,0,0,98,1663,1281,116,213,30,36,1,0,0,1446,1116,96,187,23,30,1,0,0,1375,1171,64,71,20,9,1,0,39,1790,1457,114,145,47,53,1,1375,1171,64,90,33,31,1
