GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
2451020-006,3,2451020-006,1220,1161,40,1521,1476,28,982,798,173,988,962,26,999,967,8,1461,1416,6,1422,1340,31,3273,58,0,3206,15,2,0,3206,0,2,0,0,4231,55,10,4148,15,3,0,0,0,3046,34,0,2985,15,14,0,2976,0,6,0,0,0,3837,32,9,3775,14,17,0,3753,0,7,0,0,36,4013,18,28,3975,9,16,0,0,0,3079,15,20,3047,7,14,0,0,0,2636,30,17,2529,3,8,1,6,42,3354,43,39,3264,7,29,2,2636,30,17,2571,5,27,2,3421,43,40,3299,7,29,2
2451015-024,3,2451015-024,717,671,36,860,814,38,543,416,113,547,532,15,549,520,16,922,894,12,902,854,25,2194,23,83,2022,15,0,0,1992,15,0,44,0,2897,24,275,2593,20,92,0,0,0,2435,27,85,2261,4,2,0,2241,4,0,0,52,0,3335,27,155,3162,7,100,0,2991,7,0,0,34,122,2988,14,22,2946,11,22,9,0,0,2136,9,15,2106,5,17,4,0,0,1795,25,30,1676,0,5,0,6,53,2373,34,48,2285,5,41,3,1795,25,30,1736,4,35,1,2417,35,48,2295,4,41,3
2401706-017,2,2401706-017,1084,794,263,1225,974,237,966,577,380,978,763,213,981,763,198,1185,840,282,1174,847,274,1555,695,55,745,20,20,0,720,20,20,20,0,2118,879,150,1125,51,58,13,0,0,1275,505,15,730,15,0,0,720,15,0,0,10,0,1758,655,61,1006,36,0,11,985,36,0,0,0,21,2364,1021,102,1145,86,31,12,0,0,1743,855,64,751,62,23,7,0,0,1777,491,101,1055,56,8,3,13,50,2314,559,156,1512,85,54,6,1777,491,101,1109,65,30,4,2318,560,156,1505,79,51,6
2402503-008,7,2402503-008,2233,697,1468,2581,941,1574,2015,287,1702,1993,740,1250,2001,754,1118,2417,727,1528,2399,725,1625,3027,2752,72,100,88,10,0,85,88,0,0,0,3957,3522,166,146,151,50,0,0,0,2850,2600,49,92,110,4,0,72,110,0,0,0,0,3801,3400,128,106,158,48,0,74,158,0,0,0,39,3736,3502,86,76,60,16,3,0,0,2794,2645,57,49,35,9,3,0,0,3184,2818,78,84,80,3,3,17,101,4244,3675,125,165,151,85,11,3184,2818,78,103,106,49,4,4246,3676,125,163,151,85,11
2402501-010,4,2402501-010,2371,1172,1130,2921,1639,1208,2090,779,1294,2094,1160,930,2091,1158,820,2543,1147,1251,2517,1174,1276,4319,2594,247,1240,231,6,0,1215,189,3,0,0,5455,3055,371,1719,295,26,0,0,0,5406,3139,291,1670,289,14,0,1670,252,0,0,0,0,6344,3400,491,2080,364,17,0,1888,319,1,0,1,242,5104,3136,220,1507,254,43,23,0,0,3854,2529,155,998,167,25,10,0,0,4359,2400,290,1314,117,14,5,31,188,5588,2873,431,2011,211,108,16,4359,2400,290,1436,155,85,10,5604,2881,431,1989,209,103,16
2402502-002,7,2402502-002,2551,735,1738,2742,920,1748,2369,272,2071,2356,800,1553,2385,858,1347,2753,753,1827,2721,799,1863,3979,3467,109,157,116,44,0,153,93,0,71,0,5022,4193,188,432,132,260,0,0,0,4288,3725,120,187,129,76,0,167,96,0,0,53,0,5398,4455,217,385,141,272,0,217,108,0,0,0,405,4409,4026,61,212,87,39,5,0,0,3562,3285,41,150,59,30,1,0,0,3617,3184,81,152,43,3,0,2,152,4320,3744,121,253,94,98,3,3617,3184,81,190,71,78,2,4335,3759,121,257,95,97,3
2401706-018,2,2401706-018,2242,1973,231,3063,2786,239,2068,1548,507,2101,1946,152,2102,1933,132,2071,1825,171,2039,1792,189,5511,981,252,4121,122,61,0,3978,103,23,10,0,8132,1169,490,6483,150,129,12,0,0,6066,1341,122,4287,263,43,0,4199,203,32,0,24,0,8805,1316,210,6648,427,134,24,6221,249,117,0,190,502,3783,580,214,2735,311,80,8,0,0,2547,447,133,1774,212,39,5,0,0,2864,240,135,2177,193,18,0,4,97,3893,283,199,3163,290,63,3,2864,240,135,2290,209,52,2,3900,283,199,3153,290,62,3
2402503-013,7,2402503-013,2316,731,1502,2587,984,1532,2110,306,1794,2086,760,1325,2107,773,1154,2496,776,1536,2485,760,1663,3081,2893,18,141,21,11,0,141,6,7,0,0,3868,3544,66,195,58,11,0,0,0,2843,2708,22,76,23,17,0,76,3,9,0,0,0,3578,3377,20,88,81,18,0,75,3,9,0,0,94,4054,3742,75,152,80,15,0,0,0,3005,2808,44,94,52,9,0,0,0,3044,2789,56,93,28,0,1,0,77,3881,3438,109,179,78,58,9,3044,2789,56,104,44,36,5,3884,3441,109,181,77,60,9
2404321-002,5,2404321-002,1169,555,574,1398,740,621,1023,331,669,1017,545,469,1032,563,432,1332,562,674,1247,589,596,2282,1765,50,401,33,50,0,286,29,0,0,0,2916,2041,223,611,51,128,0,0,0,2231,1761,47,261,37,35,0,155,35,0,0,110,0,2943,2062,199,668,47,192,0,238,36,0,0,0,407,3038,2372,189,406,56,32,4,0,0,2430,1997,123,256,38,20,4,0,0,2473,1850,155,293,71,0,0,2,102,3069,2188,233,489,120,73,4,2473,1850,155,351,90,53,3,3078,2190,233,497,121,69,4
2402501-012,7,2402501-012,2139,748,1309,2591,1168,1356,1975,347,1593,1967,798,1164,1982,810,1021,2180,705,1308,2147,662,1422,2735,2326,103,209,97,0,0,207,97,0,0,0,3498,2862,224,278,149,0,0,0,0,3110,2628,123,262,91,0,0,258,91,0,0,0,0,4057,3327,271,380,134,0,0,316,120,0,0,2,21,3652,3107,90,338,127,16,6,0,0,2684,2311,52,237,82,10,2,0,0,3081,2390,119,284,168,2,0,18,100,3927,2937,179,457,266,76,7,3081,2390,119,318,190,40,1,3929,2938,179,458,267,74,7
2402501-022,7,2402501-022,132,55,71,172,86,74,109,31,78,107,44,63,108,49,52,155,61,74,154,61,89,224,173,4,36,9,2,0,31,5,0,0,0,304,222,12,59,14,3,0,0,0,211,179,4,19,7,2,0,14,6,0,0,0,0,273,222,12,24,17,2,0,16,11,0,0,0,13,291,216,14,48,13,1,1,0,0,228,174,9,34,9,1,0,0,0,245,167,6,37,16,2,0,2,15,338,209,24,65,30,7,0,245,167,6,43,20,2,0,338,209,24,65,30,7,0
2401706-007,2,2401706-007,1944,1535,369,2302,1894,364,1557,1023,514,1580,1336,243,1586,1327,220,2368,1887,414,2302,1751,470,3655,979,135,2352,49,128,0,2284,35,45,34,0,5178,1122,302,3584,68,445,0,0,0,3849,1089,315,2259,54,142,0,2140,40,15,0,49,0,5036,1161,414,3392,111,667,0,2804,96,128,0,0,433,5679,1721,370,3440,195,124,17,0,0,3992,1423,239,2190,144,90,9,0,0,3973,899,299,2433,104,31,3,34,170,5561,1025,490,3846,204,168,21,3973,899,299,2589,148,115,15,5583,1030,490,3766,195,157,21
2402502-014,7,2402502-014,1190,758,388,1245,752,447,928,454,447,924,634,289,929,620,251,1574,1006,481,1554,1091,397,2467,1589,93,661,112,20,0,661,99,0,0,0,3700,1991,241,1199,183,20,0,0,0,2696,1814,213,576,72,19,0,576,64,0,0,0,0,4249,2282,648,1063,215,21,0,937,77,0,0,147,158,3953,2163,192,1537,80,75,9,0,0,2700,1647,114,880,61,48,4,0,0,2867,1474,279,902,48,3,6,15,140,4116,1824,456,1740,82,114,21,2867,1474,279,1024,62,80,19,4151,1836,456,1723,80,107,18
2402109-003,5,2402109-003,407,146,246,530,243,266,348,64,281,336,133,203,342,129,198,442,144,271,438,166,253,465,370,28,30,28,4,4,26,28,1,0,0,652,496,48,48,53,4,4,0,0,417,341,14,24,35,1,0,23,35,1,0,0,0,617,491,41,32,47,1,0,30,45,1,0,7,4,611,526,18,45,21,4,0,0,0,450,392,13,32,13,3,0,0,0,593,441,52,26,49,4,0,1,20,786,547,83,60,79,17,1,593,441,52,32,52,11,0,786,547,83,60,79,17,1
2400302-023,8,2400302-023,1746,851,815,2053,1139,826,1615,506,1088,1598,874,720,1613,880,612,1834,846,812,1770,867,831,2394,1310,241,569,245,6,1,530,234,0,10,0,3492,1760,549,790,436,28,1,0,0,2581,1470,270,553,277,7,0,541,262,0,0,0,0,4056,1846,625,795,743,16,0,748,644,0,0,58,134,3110,2140,198,531,244,33,6,0,0,2346,1676,120,364,177,23,4,0,0,2992,1776,303,522,212,13,0,12,154,4068,2259,454,912,385,140,10,2992,1776,303,615,270,92,5,4073,2260,455,914,385,135,10
2400303-009,8,2400303-009,793,241,526,832,295,506,747,111,628,726,252,474,731,244,444,863,267,543,854,267,567,1250,972,18,226,19,0,0,174,19,0,16,0,1656,1313,29,294,42,0,0,0,0,1493,1169,36,259,16,0,0,168,16,0,0,11,0,2195,1745,52,383,51,0,0,188,19,0,0,0,190,1498,1332,34,94,29,8,0,0,0,1159,1038,22,71,21,7,0,0,0,1113,951,37,50,20,6,0,6,43,1447,1183,68,104,40,55,2,1113,951,37,67,27,27,2,1450,1184,68,105,39,54,2
2400305-012,8,2400305-012,1064,474,547,1295,708,538,940,197,735,928,465,463,945,467,410,1173,538,508,1145,498,625,1699,1369,0,177,119,11,0,177,92,0,17,0,2277,1836,11,241,164,43,0,0,0,1914,1760,0,37,87,13,0,37,66,0,0,17,0,2383,2158,7,47,132,55,0,36,80,0,0,0,103,1954,1720,56,68,106,10,4,0,0,1402,1244,30,45,77,8,2,0,0,1604,1275,81,48,114,0,1,5,80,2236,1747,126,126,220,35,2,1604,1275,81,80,146,29,2,2236,1747,126,126,220,35,2
2402123-002,5,2402123-002,23,12,10,33,25,8,19,6,13,20,14,6,19,12,6,28,10,12,30,13,16,70,42,8,13,7,1,0,13,6,1,0,0,104,52,9,28,11,4,0,0,0,69,39,9,16,4,0,0,16,3,0,0,0,0,97,48,12,29,7,3,0,27,5,1,0,3,1,103,101,0,2,0,0,0,0,0,91,89,0,2,0,0,0,0,0,117,91,9,4,3,0,0,0,10,133,93,18,17,7,8,2,117,91,9,11,6,8,1,133,93,18,17,7,8,2
2400903-003,2,2400903-003,1878,771,1053,2464,1163,1249,1729,391,1324,1697,768,927,1710,797,845,1893,766,996,1824,766,991,3066,2181,92,618,95,29,2,581,66,0,42,0,4161,2933,138,837,310,63,72,0,0,2963,2302,90,429,84,2,2,397,65,0,2,56,0,3993,3036,160,577,306,30,58,408,168,0,2,0,219,3578,2518,92,889,51,35,7,0,0,2669,1840,56,720,27,26,2,0,0,3299,2326,114,620,61,20,0,12,146,4438,3108,189,828,156,120,19,3299,2326,114,655,94,81,9,4442,3110,189,846,158,119,19
2403312-017,1,2403312-017,321,298,19,334,317,13,306,225,75,303,294,6,309,302,3,342,332,8,339,327,7,538,32,26,476,7,7,0,465,7,0,0,0,705,32,43,631,8,3,0,0,0,510,36,29,444,0,7,0,432,0,0,0,0,0,627,36,55,542,0,3,0,525,0,0,0,3,10,729,66,16,631,10,11,0,0,0,571,66,11,480,9,10,0,0,0,560,30,59,452,3,3,0,0,13,689,31,88,560,9,10,3,560,30,59,465,7,6,1,690,31,88,561,9,10,3
2403309-012,1,2403309-012,105,91,12,140,126,11,92,63,27,93,83,10,95,85,7,107,94,10,107,94,10,239,33,10,197,2,1,0,195,0,0,0,0,325,35,42,249,3,2,0,0,0,292,21,10,259,2,1,0,257,0,0,0,0,0,380,24,19,339,3,1,0,333,1,0,0,0,3,327,23,30,262,13,4,0,0,0,246,22,20,194,11,3,0,0,0,276,29,76,159,4,0,0,0,8,359,29,128,200,5,3,3,276,29,76,168,5,3,3,360,29,128,199,5,3,3
2403312-016,1,2403312-016,1158,1075,58,1468,1397,48,1027,838,175,1032,992,40,1043,989,28,1210,1138,31,1171,1094,28,2790,50,175,2530,0,0,0,2480,0,0,30,0,3944,51,590,3363,22,0,10,0,0,2585,60,325,2190,0,0,0,2140,0,0,0,10,0,3893,61,965,3032,0,0,10,2809,0,0,0,0,58,3737,123,274,3337,61,59,12,0,0,2724,113,185,2407,45,38,5,0,0,2992,127,219,2518,36,2,1,12,77,3984,144,349,3460,66,60,4,2992,127,219,2611,45,43,3,3995,144,350,3446,66,48,2
2403302-006,1,2403302-006,1953,1725,188,1951,1700,201,1651,1266,373,1623,1508,109,1654,1519,108,2454,2206,173,2390,2156,150,2934,270,792,1833,32,22,0,1789,10,0,0,0,6164,325,3427,2323,51,87,0,0,0,3388,229,921,2232,4,36,0,2181,0,0,0,0,0,6464,259,3158,2926,35,149,0,2839,31,87,0,2,91,4915,362,1882,2624,122,92,15,0,0,3459,329,1169,1926,95,61,8,0,0,5027,219,2196,2385,106,12,1,7,101,6984,259,3316,3326,160,203,19,5027,219,2196,2530,121,145,14,6996,261,3317,3322,148,115,14
2403321-018,1,2403321-018,1753,1562,162,2160,1963,160,1500,1087,397,1492,1397,92,1500,1391,82,1980,1818,120,1909,1712,136,3005,551,62,1935,384,52,0,1892,299,52,17,0,4056,594,151,2566,763,68,0,0,0,2949,464,339,1760,328,49,0,1725,268,49,0,17,0,3981,486,437,2349,719,67,0,2226,586,49,0,0,198,4170,610,312,2555,753,44,22,0,0,3358,545,234,1992,608,34,10,0,0,3378,425,258,2096,447,8,4,22,118,4113,467,358,2758,574,76,11,3378,425,258,2221,487,62,8,4116,467,358,2751,568,75,10
2403309-005,1,2403309-005,1671,1523,121,2084,1937,115,1487,1131,336,1492,1431,61,1502,1409,54,1737,1618,81,1714,1605,76,2433,101,226,2094,4,19,0,2061,4,0,0,0,3418,113,501,2856,6,51,0,0,0,2894,122,226,2540,4,13,0,2508,4,0,0,0,0,3900,133,377,3414,3,25,0,3319,3,0,0,0,68,3702,264,344,2959,144,45,0,0,0,2781,244,228,2191,120,32,0,0,0,2982,159,469,2197,79,3,0,6,69,3745,193,708,2768,108,61,1,2982,159,469,2287,91,43,0,3752,193,708,2764,103,41,0
2403318-010,1,2403318-010,641,606,23,757,721,22,473,393,76,476,464,12,483,471,4,844,807,16,826,783,14,1076,21,17,979,36,6,0,979,27,6,14,0,1393,20,83,1210,103,9,0,0,0,1171,14,50,1046,47,0,0,1046,30,0,0,14,0,1495,14,157,1262,123,0,0,1204,47,0,0,0,75,1310,7,68,1248,1,20,0,0,0,1021,7,50,971,0,13,0,0,0,1121,12,119,961,0,4,0,3,22,1423,13,197,1218,3,9,5,1121,12,119,997,1,8,5,1429,13,197,1214,2,8,3
2403302-009,1,2403302-009,1972,1808,129,1962,1783,132,1614,1304,288,1632,1549,83,1640,1537,73,2524,2378,95,2477,2285,113,3388,218,568,2522,46,39,0,2512,46,4,0,0,5347,231,1645,3520,82,50,0,0,0,3242,114,490,2582,43,20,0,2572,43,10,0,0,0,5503,128,1640,3786,71,39,0,3613,55,12,0,0,56,5546,255,1407,3843,87,52,14,0,0,3916,227,897,2756,66,40,13,0,0,4662,187,1580,2624,117,3,7,27,117,6340,221,2394,3566,222,180,15,4662,187,1580,2788,142,121,11,6356,222,2394,3566,223,146,15
2403305-011,1,2403305-011,1383,1236,124,1600,1463,109,1281,938,332,1283,1212,71,1292,1200,66,1451,1330,75,1421,1295,87,2083,127,37,1722,175,16,0,1706,175,0,16,0,3015,160,363,2237,278,18,13,0,0,1946,151,56,1523,200,16,0,1507,200,0,0,16,0,3050,205,552,1975,322,20,15,1895,311,0,0,39,50,2731,207,144,2127,287,29,6,0,0,2112,181,93,1624,220,20,4,0,0,2300,147,233,1641,230,1,3,7,38,2794,166,344,2004,316,28,9,2300,147,233,1684,252,20,8,2798,166,344,2000,315,26,9
2403303-004,1,2403303-004,1490,1360,108,2022,1910,75,1408,1053,351,1389,1330,59,1411,1333,54,1356,1270,52,1338,1254,54,2136,113,65,1898,14,11,0,1872,14,0,46,0,2781,117,91,2531,105,48,7,0,0,2119,67,58,1947,11,15,0,1929,11,0,0,41,0,2755,66,91,2571,94,42,8,2448,51,0,0,10,88,2818,151,84,2574,51,23,2,0,0,2130,136,52,1924,32,12,2,0,0,2472,99,107,2130,62,4,1,7,62,3072,104,161,2772,103,45,1,2472,99,107,2241,68,39,1,3080,104,161,2742,102,43,1
2403306-028,1,2403306-028,468,408,55,628,567,54,431,298,132,424,386,37,432,393,32,452,406,34,444,395,39,995,150,40,783,24,6,0,765,24,0,0,0,1221,152,105,941,35,8,0,0,0,996,111,43,816,26,4,0,795,26,0,0,0,0,1206,113,75,988,38,8,0,956,36,0,0,5,21,1096,103,51,920,28,11,0,0,0,882,97,36,729,22,10,0,0,0,923,83,117,673,14,1,1,15,19,1121,89,166,838,23,14,2,923,83,117,694,18,5,2,1122,89,166,837,23,14,2
2403320-011,1,2403320-011,1457,1329,103,1562,1447,89,1279,970,297,1278,1231,47,1296,1245,40,1703,1578,66,1640,1511,66,2253,180,200,1797,71,0,0,1797,70,0,10,0,3988,269,961,2724,131,0,10,0,0,2426,158,239,1851,84,108,0,1841,84,0,0,0,0,3743,161,913,2461,119,107,19,2429,119,0,0,9,112,3590,170,886,2495,79,31,2,0,0,2688,158,565,1936,58,25,2,0,0,2908,77,891,1816,60,12,0,11,41,4032,103,1475,2393,91,87,7,2908,77,891,1882,69,69,2,4035,103,1475,2401,88,78,7
2403306-002,1,2403306-002,862,772,73,882,813,50,778,576,192,776,736,38,785,735,34,985,881,64,975,891,62,1495,120,120,1225,0,0,0,1160,0,0,35,0,2102,119,285,1678,62,0,0,0,0,1355,105,180,1070,0,0,0,1010,0,0,0,0,0,1938,103,366,1456,18,0,0,1397,8,0,0,0,64,1500,147,118,1210,45,10,11,0,0,1176,134,75,944,32,8,7,0,0,1252,89,135,968,30,1,0,6,23,1531,91,205,1186,43,11,0,1252,89,135,990,35,8,0,1537,91,205,1189,42,9,1
2400901-006,2,2400901-006,1971,803,1081,2062,1010,985,1758,554,1163,1716,812,901,1730,822,818,2314,820,1294,2257,802,1314,3269,2593,35,535,106,8,0,490,86,0,0,0,4703,3601,44,860,216,7,0,0,0,3665,2961,57,559,82,0,0,519,65,0,0,0,0,4924,3887,64,825,153,0,0,687,80,0,0,1,202,4758,3669,184,758,118,62,13,0,0,3358,2654,110,495,73,43,8,0,0,3602,2632,149,506,85,10,0,14,206,4810,3429,233,821,161,161,11,3602,2632,149,570,133,116,5,4816,3431,233,832,163,162,11
2402702-001,7,2402702-001,1377,885,447,1877,1339,496,1200,490,690,1198,818,378,1211,833,307,1412,955,382,1372,875,431,2760,1355,65,430,895,20,0,430,895,20,0,0,4241,1649,124,649,1800,19,0,0,0,2695,1490,95,365,750,0,0,310,750,0,0,0,0,3950,1734,210,557,1449,0,0,492,1449,0,0,0,65,2958,1466,100,505,859,32,3,0,0,2180,1181,66,325,583,27,2,0,0,3041,1246,146,430,1113,2,1,12,91,4070,1476,212,690,1660,51,18,3041,1246,146,472,1150,34,8,4073,1477,212,686,1656,47,18
2402705-004,7,2402705-004,1886,1459,375,2581,2129,394,1817,1134,661,1801,1469,331,1820,1470,276,1653,1286,268,1636,1263,320,2895,1263,240,1113,200,42,0,1084,171,32,27,0,4105,1378,544,1807,394,112,0,0,0,2675,1196,275,993,113,51,0,964,100,34,0,50,0,3775,1274,626,1491,379,130,0,1350,309,58,0,0,159,3262,1463,234,1293,296,40,13,0,0,2609,1301,174,904,239,28,9,0,0,4125,1828,360,1229,483,3,0,33,189,4942,2021,475,1819,636,113,7,4125,1828,360,1368,551,93,7,4945,2021,475,1805,639,102,6
2402702-003,7,2402702-003,2021,1150,794,2444,1611,762,1856,623,1217,1832,1115,715,1857,1149,598,2091,1229,683,2048,1179,787,2835,2185,30,260,360,0,0,195,315,0,0,0,3884,2854,50,532,448,0,0,0,0,2435,1980,45,225,195,0,0,170,140,0,0,0,0,3333,2469,62,454,308,0,0,350,206,0,0,0,246,3746,2772,92,363,514,30,5,0,0,2706,2051,49,250,348,21,3,0,0,2783,1855,84,247,517,1,0,0,79,3596,2270,141,381,800,37,4,2783,1855,84,272,565,19,1,3598,2271,141,381,799,35,4
2400307-010,8,2400307-010,1653,619,990,1974,868,1061,1601,272,1309,1560,695,865,1587,708,790,1648,599,958,1606,592,957,2190,2040,35,93,26,0,0,54,18,0,0,0,2933,2674,58,146,53,0,0,0,0,2316,2154,34,89,40,0,0,54,9,0,0,0,0,3014,2725,70,134,86,0,0,99,18,0,0,0,103,2893,2635,95,98,54,26,3,0,0,2208,2039,58,63,33,16,3,0,0,2402,2137,86,35,32,2,1,9,100,3138,2739,145,81,83,76,7,2402,2137,86,56,59,54,4,3140,2741,145,80,81,71,7
2402702-015,7,2402702-015,1236,698,492,1849,1243,555,1064,364,692,1050,625,425,1063,642,357,1210,699,409,1176,613,513,2066,1352,80,106,513,15,0,104,474,0,0,0,3018,1753,181,196,933,18,3,0,0,2173,1491,65,114,484,4,0,112,455,0,0,10,0,3222,2036,124,206,922,9,2,123,808,0,0,4,128,2858,1979,68,116,669,24,3,0,0,2087,1499,42,90,441,18,1,0,0,2197,1280,62,81,711,2,0,5,56,2895,1552,90,137,1098,27,3,2197,1280,62,94,743,23,1,2896,1552,90,137,1099,24,3
2402706-006,7,2402706-006,1037,737,261,995,792,166,982,474,493,983,755,228,999,756,178,1136,828,235,1123,816,261,1117,740,44,299,26,9,0,293,26,6,0,0,1600,1011,81,422,78,28,0,0,0,1413,848,62,463,36,10,0,456,36,5,0,0,0,1920,1100,101,560,180,27,0,516,139,4,0,0,60,1472,1023,61,292,90,19,0,0,0,1142,821,40,217,59,11,0,0,0,1138,738,54,225,63,1,0,4,53,1510,907,102,351,133,36,4,1138,738,54,247,79,18,0,1511,907,102,354,134,34,4
2402704-005,7,2402704-005,1488,479,962,1408,561,802,1402,229,1163,1366,494,872,1375,508,791,1689,541,1037,1665,535,1090,1533,1296,43,82,110,8,0,82,75,0,0,0,2139,1763,86,146,136,8,0,0,0,1415,1141,16,199,52,8,0,195,42,0,0,0,0,1932,1520,56,292,62,4,0,197,42,0,0,0,116,1925,1686,86,76,68,11,3,0,0,1440,1280,55,49,50,9,0,0,0,1556,1306,68,41,85,2,0,7,47,1958,1588,116,87,137,58,6,1556,1306,68,51,100,35,3,1959,1589,116,85,136,56,6
2402706-016,7,2402706-016,1693,1282,348,1862,1527,293,1546,902,609,1546,1242,299,1560,1236,234,1830,1416,290,1805,1358,371,2757,1186,242,1018,264,19,7,1007,257,0,27,0,4054,1438,615,1505,521,76,18,0,0,2803,1179,250,1094,206,47,20,1071,196,0,20,26,0,3927,1354,590,1588,430,126,22,1448,366,0,22,0,150,3722,1671,383,1238,460,47,8,0,0,2769,1318,265,837,352,32,5,0,0,2960,1133,420,900,346,1,4,16,140,4008,1370,649,1461,570,94,10,2960,1133,420,1020,416,51,7,4018,1370,649,1445,571,71,10
2402701-011,7,2402701-011,769,425,314,929,603,296,686,210,468,686,401,285,702,419,235,819,478,271,802,441,332,720,457,42,66,157,0,0,53,157,0,0,0,1125,622,117,117,267,0,0,0,0,744,484,41,56,161,0,0,48,161,0,0,0,0,1133,646,111,103,273,0,0,66,270,0,0,0,39,817,618,18,79,96,8,0,0,0,570,446,10,52,60,4,0,0,0,1144,620,33,131,314,4,0,4,38,1695,851,78,205,528,32,3,1144,620,33,136,327,22,3,1695,851,78,205,528,32,3
2400306-005,8,2400306-005,930,507,393,1139,751,355,858,238,614,845,513,332,870,537,298,931,521,340,921,481,414,1250,1047,11,136,22,33,0,136,22,0,0,0,1661,1340,34,233,23,31,0,0,0,1034,859,29,118,12,14,0,118,12,0,0,0,0,1399,1140,45,187,13,15,0,187,13,0,0,0,15,1849,1514,101,168,57,16,5,0,0,1407,1154,75,131,42,12,2,0,0,1477,1134,133,111,38,3,0,7,51,1939,1461,182,182,65,39,0,1477,1134,133,129,46,26,0,1940,1461,182,184,66,40,0
2400303-013,8,2400303-013,1664,427,1193,1824,551,1225,1552,227,1310,1519,490,1029,1529,486,949,1792,396,1310,1758,410,1315,2262,2064,80,103,6,11,0,103,1,0,0,0,2987,2594,149,304,9,35,0,0,0,2296,2097,30,67,5,98,0,67,1,90,0,0,0,2979,2563,93,275,7,120,0,136,2,104,0,0,80,2846,2670,49,48,58,24,0,0,0,2231,2117,30,29,38,21,0,0,0,2259,2078,57,17,20,5,1,4,77,2804,2542,89,58,50,63,5,2259,2078,57,35,32,47,2,2807,2545,89,57,50,63,5
2402701-008,7,2402701-008,1500,868,574,1488,919,527,1329,515,791,1303,815,488,1315,845,393,1815,1077,617,1779,1047,633,2290,1339,123,454,331,38,0,454,282,17,0,0,3191,1586,365,837,474,57,0,0,0,2078,1322,239,221,265,25,0,221,222,0,0,0,0,3094,1561,658,788,494,26,0,355,397,0,0,0,123,3044,2026,207,464,353,51,8,0,0,2252,1565,136,309,236,30,4,0,0,2637,1270,406,398,435,6,0,6,116,3641,1535,680,724,688,118,10,2637,1270,406,471,467,83,6,3643,1537,680,725,693,114,9
2403312-012,1,2403312-012,1541,1434,84,1962,1856,85,1302,1022,266,1305,1252,50,1314,1248,44,1706,1623,38,1657,1586,38,3393,208,126,2815,128,1,0,2815,128,1,115,0,4653,211,573,3820,139,164,0,0,0,3129,124,89,2840,68,6,0,2840,68,2,0,0,0,4373,126,643,3578,74,12,0,3448,71,5,0,44,35,4239,220,217,3678,160,79,7,0,0,3288,212,147,2806,134,58,7,0,0,3353,134,356,2624,139,12,2,3,83,4199,152,557,3366,175,79,5,3353,134,356,2743,147,66,5,4207,153,557,3309,175,78,5
