GEOID20,District,FriendlyId,Total_2016-2020_Comp,Dem_2016-2020_Comp,Rep_2016-2020_Comp,Total_2020_Pres,Dem_2020_Pres,Rep_2020_Pres,Total_2018_Gov,Dem_2018_Gov,Rep_2018_Gov,Total_2018_AG,Dem_2018_AG,Rep_2018_AG,Total_2018_Sen,Dem_2018_Sen,Rep_2018_Sen,Total_2016_Pres,Dem_2016_Pres,Rep_2016_Pres,Total_2016_Sen,Dem_2016_Sen,Rep_2016_Sen,Total_2019_CVAP,White_2019_CVAP,Hispanic_2019_CVAP,Black_2019_CVAP,Asian_2019_CVAP,Native_2019_CVAP,Pacific_2019_CVAP,BlackAlone_2019_CVAP,AsianAlone_2019_CVAP,NativeAlone_2019_CVAP,OtherAlone_2019_CVAP,TwoOrMore_2019_CVAP,Total_2019_Total,White_2019_Total,Hispanic_2019_Total,Black_2019_Total,Asian_2019_Total,Native_2019_Total,Pacific_2019_Total,BlackAlone_2019_Total,NativeAlone_2019_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,BlackAlone_2020_VAP,AsianAlone_2020_VAP,NativeAlone_2020_VAP,PacificAlone_2020_VAP,OtherAlone_2020_VAP,TwoOrMore_2020_VAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,BlackAlone_2020_Total,AsianAlone_2020_Total,NativeAlone_2020_Total,PacificAlone_2020_Total,OtherAlone_2020_Total,TwoOrMore_2020_Total,Total_2010_Total,White_2010_Total,Hispanic_2010_Total,Black_2010_Total,Asian_2010_Total,Native_2010_Total,Pacific_2010_Total,BlackAlone_2010_Total,NativeAlone_2010_Total,Total_2010_VAP,White_2010_VAP,Hispanic_2010_VAP,Black_2010_VAP,Asian_2010_VAP,Native_2010_VAP,Pacific_2010_VAP,BlackAlone_2010_VAP,NativeAlone_2010_VAP,Total_2020_NHVAP,White_2020_NHVAP,Hispanic_2020_NHVAP,BlackAlone_2020_NHVAP,AsianAlone_2020_NHVAP,NativeAlone_2020_NHVAP,PacificAlone_2020_NHVAP,OtherAlone_2020_NHVAP,TwoOrMore_2020_NHVAP,Total_2020_Total,White_2020_Total,Hispanic_2020_Total,Black_2020_Total,Asian_2020_Total,Native_2020_Total,Pacific_2020_Total,Total_2020_VAP,White_2020_VAP,Hispanic_2020_VAP,Black_2020_VAP,Asian_2020_VAP,Native_2020_VAP,Pacific_2020_VAP,Total_2020_TotalAdj,White_2020_TotalAdj,Hispanic_2020_TotalAdj,Black_2020_TotalAdj,Asian_2020_TotalAdj,Native_2020_TotalAdj,Pacific_2020_TotalAdj
2400302-014,8,2400302-014,1661,1243,368,1887,1461,371,1389,826,550,1391,1098,289,1381,1072,254,1966,1507,361,1942,1493,374,3790,1517,391,1790,104,33,0,1736,87,0,0,0,4990,1697,619,2811,190,70,0,0,0,4080,1660,230,2022,150,33,0,1981,128,0,0,3,0,5238,1952,265,2857,234,85,0,2692,213,0,0,13,102,5642,2160,441,2805,239,75,16,0,0,4380,1844,287,2045,193,57,12,0,0,4386,1314,420,2305,139,15,4,28,161,5694,1530,625,3327,220,142,17,4386,1314,420,2467,172,93,13,5714,1532,625,3274,210,123,17
2400302-012,8,2400302-012,820,308,477,1083,452,607,656,158,488,630,260,370,630,242,331,963,339,548,959,389,507,2149,1798,145,171,20,10,0,171,20,10,0,0,2912,2333,260,313,25,33,21,0,0,2168,1599,298,212,53,14,3,167,53,10,3,0,0,2850,1921,523,374,59,27,23,186,59,8,3,0,153,2590,2051,191,260,65,29,8,0,0,2031,1669,134,159,50,24,6,0,0,2052,1404,273,215,64,14,1,4,77,2634,1707,424,333,95,108,6,2052,1404,273,239,76,87,3,2639,1709,425,336,96,106,6
2402111-001,5,2402111-001,1679,489,1151,1850,577,1233,1514,240,1262,1464,482,978,1486,514,909,1881,503,1263,1844,551,1235,2455,2281,63,84,18,0,0,84,9,0,0,0,3140,2888,116,105,28,0,0,0,0,2436,2083,47,265,23,16,0,265,19,0,0,0,0,3206,2671,74,377,34,46,0,364,28,0,0,0,67,3400,3126,124,93,52,16,1,0,0,2580,2415,73,45,38,10,1,0,0,2613,2350,92,52,20,8,0,14,77,3373,2941,157,119,78,89,3,2613,2350,92,66,43,54,0,3376,2943,157,119,78,88,3
2402125-001,5,2402125-001,2366,1100,1173,2700,1387,1231,2108,621,1442,2082,1105,977,2102,1091,888,2652,1153,1264,2589,1235,1193,3320,2946,70,242,44,10,0,193,30,0,10,0,4425,3576,181,529,66,85,0,0,0,3716,3075,114,436,73,8,0,322,39,4,0,25,0,4953,3886,209,741,93,46,0,482,36,2,0,0,335,4763,4114,196,362,78,44,10,0,0,3605,3213,112,224,42,32,5,0,0,4025,3244,248,267,66,3,0,25,172,5260,4119,374,476,145,127,5,4025,3244,248,315,96,104,5,5266,4121,374,485,145,124,5
2402103-002,5,2402103-002,2236,870,1290,3016,1357,1568,2005,464,1522,1969,851,1117,2013,884,1030,2242,846,1236,2204,835,1291,3284,3059,36,38,108,0,0,38,108,0,28,0,4083,3691,60,108,143,62,0,0,0,3500,3057,50,26,324,28,0,26,264,0,0,14,0,4431,3681,83,74,510,67,0,43,377,0,0,57,191,4261,3980,97,76,88,21,10,0,0,3177,3013,54,49,47,12,5,0,0,3527,3119,132,49,79,5,2,11,130,4572,3920,204,135,176,109,15,3527,3119,132,81,109,70,4,4573,3921,204,135,175,105,15
2402105-001,5,2402105-001,2361,697,1588,2763,852,1829,2072,346,1694,2035,698,1336,2068,737,1253,2630,692,1751,2599,853,1643,6172,5261,268,462,111,80,0,389,99,5,15,0,7356,6205,350,701,145,106,0,0,0,6178,5327,296,407,51,75,0,364,35,5,0,4,0,7349,6267,365,591,75,120,0,437,49,6,0,0,224,6674,6101,181,218,101,45,3,0,0,5452,4981,141,184,81,35,3,0,0,6087,5001,269,449,102,10,18,7,231,7415,6056,356,690,184,152,38,6087,5001,269,536,159,126,27,7417,6058,356,689,184,151,38
2402107-003,5,2402107-003,1663,703,906,2223,1179,990,1470,351,1103,1436,644,792,1463,672,741,1712,706,863,1674,680,927,2639,2241,69,184,139,1,10,174,114,1,10,0,3808,2804,425,272,301,12,13,0,0,3136,2494,98,266,258,1,25,259,241,1,25,10,0,4564,3143,449,394,530,11,30,326,492,1,30,19,108,3095,2745,119,131,95,20,1,0,0,2238,2020,66,81,65,11,1,0,0,2656,2114,186,85,151,7,0,17,96,3489,2698,273,189,259,68,5,2656,2114,186,116,183,51,1,3490,2699,273,185,263,66,4
2402123-001,5,2402123-001,3273,1681,1478,3995,2365,1515,3059,1105,1923,3025,1746,1279,3035,1750,1163,3291,1534,1479,3220,1576,1498,4733,3472,389,518,314,21,0,499,265,19,15,0,6371,4166,894,867,504,26,30,0,0,4647,3432,342,614,232,19,0,597,214,19,0,0,0,6329,4040,810,1089,417,20,36,865,348,19,36,82,131,5438,4039,484,581,300,60,12,0,0,4116,3206,306,374,205,43,6,0,0,5922,3708,737,838,370,1,6,30,232,7704,4394,1151,1474,620,143,19,5922,3708,737,980,436,87,10,7708,4397,1151,1478,623,135,19
2402106-001,5,2402106-001,1260,294,932,1319,343,946,1172,143,1015,1153,289,863,1168,300,823,1386,316,990,1357,366,959,1537,1466,17,9,4,30,0,9,2,7,2,0,1858,1751,43,24,14,43,2,0,0,1477,1415,20,9,11,18,0,9,2,2,0,0,0,1758,1662,38,30,14,26,0,22,3,2,0,0,34,2107,2032,29,17,9,13,0,0,0,1661,1618,16,10,6,8,0,0,0,1687,1596,18,12,8,3,0,0,50,2063,1915,43,38,23,36,2,1687,1596,18,19,15,27,2,2065,1917,43,38,26,36,2
2402103-001,5,2402103-001,1317,521,748,1803,833,917,1155,296,848,1122,483,638,1141,501,587,1356,516,726,1319,522,750,2257,2149,29,52,25,4,0,29,25,0,0,0,3130,2936,70,94,25,4,0,0,0,2117,1986,33,68,27,2,0,32,22,0,0,0,0,2851,2665,37,110,36,7,0,23,32,0,0,1,92,2725,2512,80,60,54,19,4,0,0,2061,1929,47,39,33,14,2,0,0,2171,1976,83,27,24,1,0,3,57,2811,2509,125,73,54,49,10,2171,1976,83,44,31,37,5,2811,2509,125,73,54,49,10
2402114-001,5,2402114-001,2652,985,1589,2926,1308,1544,2485,501,1953,2422,971,1450,2471,1033,1347,2839,1015,1629,2775,1089,1594,3196,2898,65,120,100,11,0,120,56,3,0,0,4282,3586,328,230,170,12,0,0,0,3566,3138,173,120,111,18,0,120,79,3,0,0,0,4698,3789,529,241,170,24,0,143,102,3,0,0,130,4208,3920,90,105,82,21,6,0,0,3184,3008,57,65,53,9,2,0,0,3534,3100,147,107,60,11,1,4,104,4357,3727,213,178,135,110,6,3534,3100,147,125,92,73,4,4361,3730,213,176,136,107,6
2400901-002,2,2400901-002,1736,851,828,1877,990,834,1563,522,1013,1540,825,715,1560,840,645,2008,990,898,1898,951,856,2854,2237,78,495,45,2,0,473,14,0,0,0,3659,2737,172,709,53,1,10,0,0,2584,1955,96,448,69,0,0,441,6,0,0,0,0,3490,2604,173,665,85,58,5,571,9,0,0,7,131,4101,2979,114,925,70,38,14,0,0,2976,2216,72,627,46,24,11,0,0,3101,2015,130,761,24,8,2,7,154,4153,2608,229,1128,90,133,14,3101,2015,130,847,42,81,10,4166,2613,229,1132,90,132,14
24009ZZZZZZ,2,24009ZZZZZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,3,4,2,0,0,0,2,13,2,3,4,4,0,0,12,1,3,4,4,0,0,13,2,3,4,4,0,0
2400903-005,2,2400903-005,2005,869,1084,2379,1214,1130,1811,474,1326,1767,834,928,1799,871,862,2146,891,1137,2093,916,1111,3253,2577,138,474,16,52,0,458,16,0,1,0,4122,3347,184,525,15,61,0,0,0,3250,2458,76,619,62,37,0,602,37,0,0,1,0,4289,3192,128,840,153,45,0,724,38,0,0,11,197,3952,3243,92,490,102,41,3,0,0,2859,2350,54,377,55,27,3,0,0,3099,2215,93,606,49,7,4,5,120,4026,2857,173,777,112,95,13,3099,2215,93,647,71,61,8,4035,2859,173,799,111,91,11
2402102-011,5,2402102-011,1465,974,431,1983,1404,527,1273,641,602,1258,917,340,1266,920,298,1565,1003,417,1511,969,424,3863,2650,206,860,104,40,10,836,40,20,0,0,4807,3123,284,1199,186,62,11,0,0,3863,2850,231,631,90,35,20,611,40,15,20,0,0,5171,3143,597,1081,197,53,20,765,133,15,20,0,498,4517,2757,545,954,279,58,4,0,0,3666,2403,371,671,213,42,3,0,0,3782,2250,489,702,153,11,7,14,156,4695,2552,722,1156,243,110,12,3782,2250,489,813,180,80,11,4709,2556,723,1156,240,96,12
